Config,Name,N,Mean,Std Dev,Var,Std Err,Min ConfInt t95,Max ConfInt t95,Min ConfInt t90,Max ConfInt t90
First-n2,lifeTime,2,5251.443,291.398,84912.926,65.159,5115.522,5387.364,5139.044,5363.842
First-n2,lifeTimeU1,2,7.978,0.331,0.109,0.074,7.824,8.132,7.85,8.105
First-n2,lifeTimeU2,2,20570.116,1373.412,1886260.688,307.104,19929.496,21210.735,20040.361,21099.871
First-n2,queueLengthU1,2,3.747,0.177,0.031,0.039,3.664,3.829,3.678,3.815
First-n2,queueLengthU2,2,5136.044,326.497,106600.154,73.007,4983.751,5288.336,5010.107,5261.981
First-n3,lifeTime,3,2283.206,398.63,158905.52,89.136,2097.268,2469.145,2129.446,2436.967
First-n3,lifeTimeU1,3,6.866,0.318,0.101,0.071,6.718,7.014,6.744,6.989
First-n3,lifeTimeU2,3,7383.821,1362.181,1855537.349,304.593,6748.44,8019.202,6858.398,7909.244
First-n3,queueLengthU1,3,3.244,0.17,0.029,0.038,3.165,3.324,3.179,3.31
First-n3,queueLengthU2,3,1846.206,339.455,115229.982,75.905,1687.869,2004.543,1715.271,1977.142
First-n4,lifeTime,4,101.426,42.384,1796.362,9.477,81.656,121.195,85.077,117.774
First-n4,lifeTimeU1,4,6.026,0.293,0.086,0.066,5.889,6.163,5.913,6.139
First-n4,lifeTimeU2,4,292.028,127.151,16167.328,28.432,232.719,351.336,242.983,341.073
First-n4,queueLengthU1,4,2.948,0.146,0.021,0.033,2.88,3.016,2.891,3.004
First-n4,queueLengthU2,4,75.202,32.184,1035.827,7.197,60.19,90.214,62.788,87.616
First-n5,lifeTime,5,39.611,7.164,51.324,1.602,36.269,42.952,36.847,42.374
First-n5,lifeTimeU1,5,5.367,0.195,0.038,0.044,5.275,5.458,5.291,5.442
First-n5,lifeTimeU2,5,108.196,21.257,451.86,4.753,98.28,118.111,99.996,116.395
First-n5,queueLengthU1,5,2.774,0.107,0.011,0.024,2.724,2.823,2.732,2.815
