run,repetition,Module,Name,
First-n2-0-20191016-17:03:11-8384,0,Pizza.sink,lifeTimeU1:max,51.51076907454
First-n2-1-20191016-17:03:14-15008,1,Pizza.sink,lifeTimeU1:max,44.55874265673
First-n2-10-20191016-17:03:38-12096,10,Pizza.sink,lifeTimeU1:max,41.864239397388
First-n2-11-20191016-17:03:42-5084,11,Pizza.sink,lifeTimeU1:max,53.490914648258
First-n2-12-20191016-17:03:44-2416,12,Pizza.sink,lifeTimeU1:max,57.331397961907
First-n2-13-20191016-17:03:48-14428,13,Pizza.sink,lifeTimeU1:max,56.065136771028
First-n2-14-20191016-17:03:52-3628,14,Pizza.sink,lifeTimeU1:max,63.104163317932
First-n2-15-20191016-17:03:54-14976,15,Pizza.sink,lifeTimeU1:max,51.864172685782
First-n2-16-20191016-17:03:57-12392,16,Pizza.sink,lifeTimeU1:max,50.697792414848
First-n2-17-20191016-17:03:59-13080,17,Pizza.sink,lifeTimeU1:max,54.261264860932
First-n2-18-20191016-17:04:02-9132,18,Pizza.sink,lifeTimeU1:max,75.421277914353
First-n2-19-20191016-17:04:04-8508,19,Pizza.sink,lifeTimeU1:max,69.609236154583
First-n2-2-20191016-17:03:16-11904,2,Pizza.sink,lifeTimeU1:max,49.106184258079
First-n2-3-20191016-17:03:19-7956,3,Pizza.sink,lifeTimeU1:max,40.431209146435
First-n2-4-20191016-17:03:21-11924,4,Pizza.sink,lifeTimeU1:max,55.742540948854
First-n2-5-20191016-17:03:24-5708,5,Pizza.sink,lifeTimeU1:max,45.395266683405
First-n2-6-20191016-17:03:27-11624,6,Pizza.sink,lifeTimeU1:max,54.961387530506
First-n2-7-20191016-17:03:30-7280,7,Pizza.sink,lifeTimeU1:max,64.649226089486
First-n2-8-20191016-17:03:32-14656,8,Pizza.sink,lifeTimeU1:max,49.742294657275
First-n2-9-20191016-17:03:35-10520,9,Pizza.sink,lifeTimeU1:max,62.207405823183
