run,repetition,Module,Name,
First-n3-0-20191016-17:03:12-11604,0,Pizza.sink,lifeTime:mean,986.46260161881
First-n3-1-20191016-17:03:15-11220,1,Pizza.sink,lifeTime:mean,292.65114329136
First-n3-10-20191016-17:03:40-5404,10,Pizza.sink,lifeTime:mean,763.47374311258
First-n3-11-20191016-17:03:42-10684,11,Pizza.sink,lifeTime:mean,377.28273071596
First-n3-12-20191016-17:03:47-6384,12,Pizza.sink,lifeTime:mean,312.5497766512
First-n3-13-20191016-17:03:50-15056,13,Pizza.sink,lifeTime:mean,906.1219084045
First-n3-14-20191016-17:03:54-12896,14,Pizza.sink,lifeTime:mean,584.53320308407
First-n3-15-20191016-17:03:56-8868,15,Pizza.sink,lifeTime:mean,698.28253288144
First-n3-16-20191016-17:03:59-15356,16,Pizza.sink,lifeTime:mean,577.06311604678
First-n3-17-20191016-17:04:01-11504,17,Pizza.sink,lifeTime:mean,335.60575332228
First-n3-18-20191016-17:04:03-12344,18,Pizza.sink,lifeTime:mean,401.78097937499
First-n3-19-20191016-17:04:06-11860,19,Pizza.sink,lifeTime:mean,827.53638430094
First-n3-2-20191016-17:03:17-6320,2,Pizza.sink,lifeTime:mean,706.40658172781
First-n3-3-20191016-17:03:19-13988,3,Pizza.sink,lifeTime:mean,348.54194483054
First-n3-4-20191016-17:03:23-9424,4,Pizza.sink,lifeTime:mean,629.44038938425
First-n3-5-20191016-17:03:25-13964,5,Pizza.sink,lifeTime:mean,559.30558236975
First-n3-6-20191016-17:03:28-4500,6,Pizza.sink,lifeTime:mean,644.63197784138
First-n3-7-20191016-17:03:31-5568,7,Pizza.sink,lifeTime:mean,422.0749311731
First-n3-8-20191016-17:03:34-12004,8,Pizza.sink,lifeTime:mean,294.70894212391
First-n3-9-20191016-17:03:36-1772,9,Pizza.sink,lifeTime:mean,558.42975568073
