run,repetition,Module,Name,
First-n3-0-20191016-17:03:12-11604,0,Pizza.sink,lifeTimeU1:min,0.036530791715
First-n3-1-20191016-17:03:15-11220,1,Pizza.sink,lifeTimeU1:min,0.003838330328
First-n3-10-20191016-17:03:40-5404,10,Pizza.sink,lifeTimeU1:min,0.002336276476
First-n3-11-20191016-17:03:42-10684,11,Pizza.sink,lifeTimeU1:min,0.014085970049
First-n3-12-20191016-17:03:47-6384,12,Pizza.sink,lifeTimeU1:min,0.01376565936
First-n3-13-20191016-17:03:50-15056,13,Pizza.sink,lifeTimeU1:min,0.003794836757
First-n3-14-20191016-17:03:54-12896,14,Pizza.sink,lifeTimeU1:min,0.012548446082
First-n3-15-20191016-17:03:56-8868,15,Pizza.sink,lifeTimeU1:min,0.012109279368
First-n3-16-20191016-17:03:59-15356,16,Pizza.sink,lifeTimeU1:min,0.002470890603
First-n3-17-20191016-17:04:01-11504,17,Pizza.sink,lifeTimeU1:min,0.00242610259
First-n3-18-20191016-17:04:03-12344,18,Pizza.sink,lifeTimeU1:min,0.008301344635
First-n3-19-20191016-17:04:06-11860,19,Pizza.sink,lifeTimeU1:min,0.00656389421
First-n3-2-20191016-17:03:17-6320,2,Pizza.sink,lifeTimeU1:min,0.04468792463
First-n3-3-20191016-17:03:19-13988,3,Pizza.sink,lifeTimeU1:min,0.002493019761
First-n3-4-20191016-17:03:23-9424,4,Pizza.sink,lifeTimeU1:min,0.001815979002
First-n3-5-20191016-17:03:25-13964,5,Pizza.sink,lifeTimeU1:min,0.00960516751
First-n3-6-20191016-17:03:28-4500,6,Pizza.sink,lifeTimeU1:min,0.020447635417
First-n3-7-20191016-17:03:31-5568,7,Pizza.sink,lifeTimeU1:min,0.015311194022
First-n3-8-20191016-17:03:34-12004,8,Pizza.sink,lifeTimeU1:min,0.005785999728
First-n3-9-20191016-17:03:36-1772,9,Pizza.sink,lifeTimeU1:min,0.030955428221
