run,repetition,Module,Name,
First-n4-0-20191016-17:03:12-6104,0,Pizza.sink,lifeTimeU2:mean,226.68167478227
First-n4-1-20191016-17:03:16-3920,1,Pizza.sink,lifeTimeU2:mean,198.44226914527
First-n4-10-20191016-17:03:40-11200,10,Pizza.sink,lifeTimeU2:mean,230.64961769163
First-n4-11-20191016-17:03:42-8976,11,Pizza.sink,lifeTimeU2:mean,258.32855299342
First-n4-12-20191016-17:03:47-15308,12,Pizza.sink,lifeTimeU2:mean,397.00504198815
First-n4-13-20191016-17:03:50-10788,13,Pizza.sink,lifeTimeU2:mean,210.41974170062
First-n4-14-20191016-17:03:54-2580,14,Pizza.sink,lifeTimeU2:mean,203.50175191649
First-n4-15-20191016-17:03:57-14884,15,Pizza.sink,lifeTimeU2:mean,135.08263186464
First-n4-16-20191016-17:03:59-7584,16,Pizza.sink,lifeTimeU2:mean,327.96433896219
First-n4-17-20191016-17:04:02-14532,17,Pizza.sink,lifeTimeU2:mean,267.63577876639
First-n4-18-20191016-17:04:04-14664,18,Pizza.sink,lifeTimeU2:mean,133.7898594202
First-n4-19-20191016-17:04:06-9352,19,Pizza.sink,lifeTimeU2:mean,290.57311532585
First-n4-2-20191016-17:03:18-15160,2,Pizza.sink,lifeTimeU2:mean,1012.3201453385
First-n4-3-20191016-17:03:21-800,3,Pizza.sink,lifeTimeU2:mean,1172.1447784057
First-n4-4-20191016-17:03:24-13984,4,Pizza.sink,lifeTimeU2:mean,100.13117393967
First-n4-5-20191016-17:03:27-11300,5,Pizza.sink,lifeTimeU2:mean,262.01306832617
First-n4-6-20191016-17:03:30-12284,6,Pizza.sink,lifeTimeU2:mean,324.26757055296
First-n4-7-20191016-17:03:33-15276,7,Pizza.sink,lifeTimeU2:mean,91.891730418342
First-n4-8-20191016-17:03:35-8868,8,Pizza.sink,lifeTimeU2:mean,275.86208234061
First-n4-9-20191016-17:03:38-7512,9,Pizza.sink,lifeTimeU2:mean,106.0624168302
