run,repetition,Module,Name,
First-n5-0-20191016-17:03:13-9552,0,Pizza.EntryQueueU2,queueLength:mean,16.245537454205
First-n5-1-20191016-17:03:16-15304,1,Pizza.EntryQueueU2,queueLength:mean,16.49951962161
First-n5-10-20191016-17:03:38-14932,10,Pizza.EntryQueueU2,queueLength:mean,28.096640186575
First-n5-11-20191016-17:03:41-7048,11,Pizza.EntryQueueU2,queueLength:mean,33.710876646367
First-n5-12-20191016-17:03:44-12200,12,Pizza.EntryQueueU2,queueLength:mean,18.485324388199
First-n5-13-20191016-17:03:48-14404,13,Pizza.EntryQueueU2,queueLength:mean,17.812532290206
First-n5-14-20191016-17:03:52-1212,14,Pizza.EntryQueueU2,queueLength:mean,23.463446858485
First-n5-15-20191016-17:03:56-14752,15,Pizza.EntryQueueU2,queueLength:mean,25.783725910064
First-n5-16-20191016-17:03:59-9884,16,Pizza.EntryQueueU2,queueLength:mean,29.522052464687
First-n5-17-20191016-17:04:02-5016,17,Pizza.EntryQueueU2,queueLength:mean,45.536899313501
First-n5-18-20191016-17:04:04-13452,18,Pizza.EntryQueueU2,queueLength:mean,27.894076496084
First-n5-19-20191016-17:04:06-11968,19,Pizza.EntryQueueU2,queueLength:mean,23.144160047073
First-n5-2-20191016-17:03:18-9176,2,Pizza.EntryQueueU2,queueLength:mean,36.150221223401
First-n5-3-20191016-17:03:21-5328,3,Pizza.EntryQueueU2,queueLength:mean,20.303696527053
First-n5-4-20191016-17:03:23-14008,4,Pizza.EntryQueueU2,queueLength:mean,17.478385083828
First-n5-5-20191016-17:03:25-7076,5,Pizza.EntryQueueU2,queueLength:mean,26.961315560707
First-n5-6-20191016-17:03:28-14956,6,Pizza.EntryQueueU2,queueLength:mean,34.844186046512
First-n5-7-20191016-17:03:31-8536,7,Pizza.EntryQueueU2,queueLength:mean,28.324378478664
First-n5-8-20191016-17:03:33-8864,8,Pizza.EntryQueueU2,queueLength:mean,18.594651246838
First-n5-9-20191016-17:03:36-748,9,Pizza.EntryQueueU2,queueLength:mean,22.223763393512
