run,repetition,Module,Name,
First-n5-0-20191016-17:03:13-9552,0,Pizza.sink,lifeTime:min,0.000291360135
First-n5-1-20191016-17:03:16-15304,1,Pizza.sink,lifeTime:min,4.1380291e-005
First-n5-10-20191016-17:03:38-14932,10,Pizza.sink,lifeTime:min,0.000190359462
First-n5-11-20191016-17:03:41-7048,11,Pizza.sink,lifeTime:min,0.000708766861
First-n5-12-20191016-17:03:44-12200,12,Pizza.sink,lifeTime:min,0.00029802229
First-n5-13-20191016-17:03:48-14404,13,Pizza.sink,lifeTime:min,0.000228386373
First-n5-14-20191016-17:03:52-1212,14,Pizza.sink,lifeTime:min,0.00020685766
First-n5-15-20191016-17:03:56-14752,15,Pizza.sink,lifeTime:min,5.7513844e-005
First-n5-16-20191016-17:03:59-9884,16,Pizza.sink,lifeTime:min,0.00050174271
First-n5-17-20191016-17:04:02-5016,17,Pizza.sink,lifeTime:min,0.00062118255
First-n5-18-20191016-17:04:04-13452,18,Pizza.sink,lifeTime:min,0.000218289136
First-n5-19-20191016-17:04:06-11968,19,Pizza.sink,lifeTime:min,0.000475175955
First-n5-2-20191016-17:03:18-9176,2,Pizza.sink,lifeTime:min,0.00031069291
First-n5-3-20191016-17:03:21-5328,3,Pizza.sink,lifeTime:min,0.000702183133
First-n5-4-20191016-17:03:23-14008,4,Pizza.sink,lifeTime:min,0.000147606196
First-n5-5-20191016-17:03:25-7076,5,Pizza.sink,lifeTime:min,0.000147521127
First-n5-6-20191016-17:03:28-14956,6,Pizza.sink,lifeTime:min,0.000529912748
First-n5-7-20191016-17:03:31-8536,7,Pizza.sink,lifeTime:min,0.000160396531
First-n5-8-20191016-17:03:33-8864,8,Pizza.sink,lifeTime:min,0.000379611138
First-n5-9-20191016-17:03:36-748,9,Pizza.sink,lifeTime:min,0.00109141346
