run,repetition,Module,Name,
Second-n2-0-20191016-17:03:15-14860,0,Pizza.sink,lifeTimeU1:min,0.000729341631
Second-n2-1-20191016-17:03:18-6176,1,Pizza.sink,lifeTimeU1:min,0.00020719655
Second-n2-10-20191016-17:03:35-15220,10,Pizza.sink,lifeTimeU1:min,0.000182000236
Second-n2-11-20191016-17:03:38-14752,11,Pizza.sink,lifeTimeU1:min,9.9846106e-005
Second-n2-12-20191016-17:03:40-15280,12,Pizza.sink,lifeTimeU1:min,5.2807048e-005
Second-n2-13-20191016-17:03:42-10740,13,Pizza.sink,lifeTimeU1:min,1.852728e-006
Second-n2-14-20191016-17:03:44-1888,14,Pizza.sink,lifeTimeU1:min,4.2728792e-005
Second-n2-15-20191016-17:03:47-5724,15,Pizza.sink,lifeTimeU1:min,0.00045908459
Second-n2-16-20191016-17:03:48-8640,16,Pizza.sink,lifeTimeU1:min,0.000877399698
Second-n2-17-20191016-17:03:52-12156,17,Pizza.sink,lifeTimeU1:min,0.001306835255
Second-n2-18-20191016-17:03:54-1480,18,Pizza.sink,lifeTimeU1:min,0.000618692149
Second-n2-19-20191016-17:03:56-5568,19,Pizza.sink,lifeTimeU1:min,0.000671229584
Second-n2-2-20191016-17:03:19-7748,2,Pizza.sink,lifeTimeU1:min,0.001696115869
Second-n2-3-20191016-17:03:21-7648,3,Pizza.sink,lifeTimeU1:min,0.000772401447
Second-n2-4-20191016-17:03:24-3624,4,Pizza.sink,lifeTimeU1:min,0.000921158934
Second-n2-5-20191016-17:03:25-15212,5,Pizza.sink,lifeTimeU1:min,4.145464e-006
Second-n2-6-20191016-17:03:28-14148,6,Pizza.sink,lifeTimeU1:min,1.8945919e-005
Second-n2-7-20191016-17:03:30-10968,7,Pizza.sink,lifeTimeU1:min,0.000268890532
Second-n2-8-20191016-17:03:32-1328,8,Pizza.sink,lifeTimeU1:min,0.003857199557
Second-n2-9-20191016-17:03:34-15236,9,Pizza.sink,lifeTimeU1:min,0.001194024229
