run,repetition,Module,Name,
Second-n3-0-20191016-17:03:37-14584,0,Pizza.EntryQueueU1,queueLength:mean,1.4234318493578
Second-n3-1-20191016-17:03:40-14452,1,Pizza.EntryQueueU1,queueLength:mean,1.4653714696888
Second-n3-10-20191016-17:04:01-14520,10,Pizza.EntryQueueU1,queueLength:mean,1.4335668671337
Second-n3-11-20191016-17:04:03-12824,11,Pizza.EntryQueueU1,queueLength:mean,1.4034371909001
Second-n3-12-20191016-17:04:06-11372,12,Pizza.EntryQueueU1,queueLength:mean,1.3784825320614
Second-n3-13-20191016-17:04:08-15284,13,Pizza.EntryQueueU1,queueLength:mean,1.4279265351555
Second-n3-14-20191016-17:04:10-8708,14,Pizza.EntryQueueU1,queueLength:mean,1.4931203931204
Second-n3-15-20191016-17:04:11-13836,15,Pizza.EntryQueueU1,queueLength:mean,1.3815149836933
Second-n3-16-20191016-17:04:13-2060,16,Pizza.EntryQueueU1,queueLength:mean,1.3753426404029
Second-n3-17-20191016-17:04:14-15232,17,Pizza.EntryQueueU1,queueLength:mean,1.4557672153381
Second-n3-18-20191016-17:04:16-15316,18,Pizza.EntryQueueU1,queueLength:mean,1.4227789578908
Second-n3-19-20191016-17:04:17-3616,19,Pizza.EntryQueueU1,queueLength:mean,1.5308574216368
Second-n3-2-20191016-17:03:42-2192,2,Pizza.EntryQueueU1,queueLength:mean,1.4839718050873
Second-n3-3-20191016-17:03:44-1552,3,Pizza.EntryQueueU1,queueLength:mean,1.4406090118967
Second-n3-4-20191016-17:03:47-12900,4,Pizza.EntryQueueU1,queueLength:mean,1.3408762954217
Second-n3-5-20191016-17:03:48-14644,5,Pizza.EntryQueueU1,queueLength:mean,1.4299659906789
Second-n3-6-20191016-17:03:52-14396,6,Pizza.EntryQueueU1,queueLength:mean,1.3611040122668
Second-n3-7-20191016-17:03:53-12500,7,Pizza.EntryQueueU1,queueLength:mean,1.5050666339127
Second-n3-8-20191016-17:03:56-11752,8,Pizza.EntryQueueU1,queueLength:mean,1.4951073912241
Second-n3-9-20191016-17:03:58-13240,9,Pizza.EntryQueueU1,queueLength:mean,1.4881164404594
