run,repetition,Module,Name,
Second-n3-0-20191016-17:03:37-14584,0,Pizza.sink,lifeTimeU1:mean,3.478280353227
Second-n3-1-20191016-17:03:40-14452,1,Pizza.sink,lifeTimeU1:mean,3.6225135122078
Second-n3-10-20191016-17:04:01-14520,10,Pizza.sink,lifeTimeU1:mean,3.5586732503869
Second-n3-11-20191016-17:04:03-12824,11,Pizza.sink,lifeTimeU1:mean,3.5261294524412
Second-n3-12-20191016-17:04:06-11372,12,Pizza.sink,lifeTimeU1:mean,3.395892002346
Second-n3-13-20191016-17:04:08-15284,13,Pizza.sink,lifeTimeU1:mean,3.5331014922906
Second-n3-14-20191016-17:04:10-8708,14,Pizza.sink,lifeTimeU1:mean,3.6707978861944
Second-n3-15-20191016-17:04:11-13836,15,Pizza.sink,lifeTimeU1:mean,3.4816066530331
Second-n3-16-20191016-17:04:13-2060,16,Pizza.sink,lifeTimeU1:mean,3.4141681198165
Second-n3-17-20191016-17:04:14-15232,17,Pizza.sink,lifeTimeU1:mean,3.5887884718785
Second-n3-18-20191016-17:04:16-15316,18,Pizza.sink,lifeTimeU1:mean,3.4606406703401
Second-n3-19-20191016-17:04:17-3616,19,Pizza.sink,lifeTimeU1:mean,3.6884501228615
Second-n3-2-20191016-17:03:42-2192,2,Pizza.sink,lifeTimeU1:mean,3.6537491439159
Second-n3-3-20191016-17:03:44-1552,3,Pizza.sink,lifeTimeU1:mean,3.544259247462
Second-n3-4-20191016-17:03:47-12900,4,Pizza.sink,lifeTimeU1:mean,3.2820046254306
Second-n3-5-20191016-17:03:48-14644,5,Pizza.sink,lifeTimeU1:mean,3.5287446591159
Second-n3-6-20191016-17:03:52-14396,6,Pizza.sink,lifeTimeU1:mean,3.3709888240273
Second-n3-7-20191016-17:03:53-12500,7,Pizza.sink,lifeTimeU1:mean,3.6733234124555
Second-n3-8-20191016-17:03:56-11752,8,Pizza.sink,lifeTimeU1:mean,3.582565026279
Second-n3-9-20191016-17:03:58-13240,9,Pizza.sink,lifeTimeU1:mean,3.6182775668619
