run,repetition,Module,Name,
Second-n3-0-20191016-17:03:37-14584,0,Pizza.sink,lifeTime:min,5.0914791e-005
Second-n3-1-20191016-17:03:40-14452,1,Pizza.sink,lifeTime:min,0.000331597878
Second-n3-10-20191016-17:04:01-14520,10,Pizza.sink,lifeTime:min,0.000592744271
Second-n3-11-20191016-17:04:03-12824,11,Pizza.sink,lifeTime:min,0.000328386786
Second-n3-12-20191016-17:04:06-11372,12,Pizza.sink,lifeTime:min,0.000111508084
Second-n3-13-20191016-17:04:08-15284,13,Pizza.sink,lifeTime:min,0.000153469464
Second-n3-14-20191016-17:04:10-8708,14,Pizza.sink,lifeTime:min,0.000343649678
Second-n3-15-20191016-17:04:11-13836,15,Pizza.sink,lifeTime:min,0.000403739253
Second-n3-16-20191016-17:04:13-2060,16,Pizza.sink,lifeTime:min,0.000702439794
Second-n3-17-20191016-17:04:14-15232,17,Pizza.sink,lifeTime:min,0.00017743119
Second-n3-18-20191016-17:04:16-15316,18,Pizza.sink,lifeTime:min,6.5439511e-005
Second-n3-19-20191016-17:04:17-3616,19,Pizza.sink,lifeTime:min,0.000360903949
Second-n3-2-20191016-17:03:42-2192,2,Pizza.sink,lifeTime:min,0.000322302799
Second-n3-3-20191016-17:03:44-1552,3,Pizza.sink,lifeTime:min,0.000238233305
Second-n3-4-20191016-17:03:47-12900,4,Pizza.sink,lifeTime:min,0.000219879458
Second-n3-5-20191016-17:03:48-14644,5,Pizza.sink,lifeTime:min,3.958173e-006
Second-n3-6-20191016-17:03:52-14396,6,Pizza.sink,lifeTime:min,7.1227272e-005
Second-n3-7-20191016-17:03:53-12500,7,Pizza.sink,lifeTime:min,7.3725296e-005
Second-n3-8-20191016-17:03:56-11752,8,Pizza.sink,lifeTime:min,9.1742731e-005
Second-n3-9-20191016-17:03:58-13240,9,Pizza.sink,lifeTime:min,0.000834082283
