run,repetition,Module,Name,
Second-n5-0-20191016-17:04:24-13320,0,Pizza.sink,lifeTimeU2:max,72.008739491533
Second-n5-1-20191016-17:04:26-8864,1,Pizza.sink,lifeTimeU2:max,76.828314824813
Second-n5-10-20191016-17:04:39-14852,10,Pizza.sink,lifeTimeU2:max,88.493716532619
Second-n5-11-20191016-17:04:42-14740,11,Pizza.sink,lifeTimeU2:max,83.067715051035
Second-n5-12-20191016-17:04:44-2824,12,Pizza.sink,lifeTimeU2:max,87.186820990384
Second-n5-13-20191016-17:04:46-15128,13,Pizza.sink,lifeTimeU2:max,65.260441920943
Second-n5-14-20191016-17:04:48-14972,14,Pizza.sink,lifeTimeU2:max,106.17303206174
Second-n5-15-20191016-17:04:51-15044,15,Pizza.sink,lifeTimeU2:max,109.15571330981
Second-n5-16-20191016-17:04:55-5588,16,Pizza.sink,lifeTimeU2:max,102.91117500961
Second-n5-17-20191016-17:04:56-8620,17,Pizza.sink,lifeTimeU2:max,66.41607213829
Second-n5-18-20191016-17:04:59-8592,18,Pizza.sink,lifeTimeU2:max,84.689590020605
Second-n5-19-20191016-17:05:02-15356,19,Pizza.sink,lifeTimeU2:max,93.255412076941
Second-n5-2-20191016-17:04:27-15048,2,Pizza.sink,lifeTimeU2:max,72.005377837631
Second-n5-3-20191016-17:04:28-9176,3,Pizza.sink,lifeTimeU2:max,76.626999204881
Second-n5-4-20191016-17:04:29-2900,4,Pizza.sink,lifeTimeU2:max,107.21847632036
Second-n5-5-20191016-17:04:31-15356,5,Pizza.sink,lifeTimeU2:max,119.18399892118
Second-n5-6-20191016-17:04:32-11044,6,Pizza.sink,lifeTimeU2:max,91.572142361579
Second-n5-7-20191016-17:04:34-4284,7,Pizza.sink,lifeTimeU2:max,73.660804760577
Second-n5-8-20191016-17:04:35-14876,8,Pizza.sink,lifeTimeU2:max,85.935897467432
Second-n5-9-20191016-17:04:37-2336,9,Pizza.sink,lifeTimeU2:max,103.29151880979
