run,repetition,Module,Name,
Second-n5-0-20191016-17:04:24-13320,0,Pizza.sink,lifeTime:mean,4.6672153231944
Second-n5-1-20191016-17:04:26-8864,1,Pizza.sink,lifeTime:mean,5.5580289622362
Second-n5-10-20191016-17:04:39-14852,10,Pizza.sink,lifeTime:mean,5.0916592277873
Second-n5-11-20191016-17:04:42-14740,11,Pizza.sink,lifeTime:mean,5.0106129135439
Second-n5-12-20191016-17:04:44-2824,12,Pizza.sink,lifeTime:mean,4.7852113236177
Second-n5-13-20191016-17:04:46-15128,13,Pizza.sink,lifeTime:mean,4.6207803338371
Second-n5-14-20191016-17:04:48-14972,14,Pizza.sink,lifeTime:mean,5.3422647406079
Second-n5-15-20191016-17:04:51-15044,15,Pizza.sink,lifeTime:mean,5.3186859341984
Second-n5-16-20191016-17:04:55-5588,16,Pizza.sink,lifeTime:mean,4.9975340358835
Second-n5-17-20191016-17:04:56-8620,17,Pizza.sink,lifeTime:mean,4.8761751115617
Second-n5-18-20191016-17:04:59-8592,18,Pizza.sink,lifeTime:mean,5.2632297464446
Second-n5-19-20191016-17:05:02-15356,19,Pizza.sink,lifeTime:mean,4.9638279221582
Second-n5-2-20191016-17:04:27-15048,2,Pizza.sink,lifeTime:mean,4.5064819025744
Second-n5-3-20191016-17:04:28-9176,3,Pizza.sink,lifeTime:mean,4.6112043292643
Second-n5-4-20191016-17:04:29-2900,4,Pizza.sink,lifeTime:mean,5.2332880988625
Second-n5-5-20191016-17:04:31-15356,5,Pizza.sink,lifeTime:mean,5.436641584668
Second-n5-6-20191016-17:04:32-11044,6,Pizza.sink,lifeTime:mean,5.4406920765987
Second-n5-7-20191016-17:04:34-4284,7,Pizza.sink,lifeTime:mean,5.185777930944
Second-n5-8-20191016-17:04:35-14876,8,Pizza.sink,lifeTime:mean,4.8882312878323
Second-n5-9-20191016-17:04:37-2336,9,Pizza.sink,lifeTime:mean,5.1753079237741
