run,repetition,Module,Name,
Third-n2-0-20191016-17:04:31-1552,0,Pizza.sink,lifeTime:max,10625.415550588
Third-n2-1-20191016-17:04:32-12940,1,Pizza.sink,lifeTime:max,10280.936292149
Third-n2-10-20191016-17:04:47-7760,10,Pizza.sink,lifeTime:max,11255.031344682
Third-n2-11-20191016-17:04:49-12004,11,Pizza.sink,lifeTime:max,11598.361928141
Third-n2-12-20191016-17:04:51-1964,12,Pizza.sink,lifeTime:max,10545.109166638
Third-n2-13-20191016-17:04:53-6900,13,Pizza.sink,lifeTime:max,12256.161088313
Third-n2-14-20191016-17:04:55-14444,14,Pizza.sink,lifeTime:max,12485.869105959
Third-n2-15-20191016-17:04:56-1836,15,Pizza.sink,lifeTime:max,10785.997583468
Third-n2-16-20191016-17:04:58-10488,16,Pizza.sink,lifeTime:max,10951.844978233
Third-n2-17-20191016-17:05:00-4800,17,Pizza.sink,lifeTime:max,12450.002665681
Third-n2-18-20191016-17:05:02-9352,18,Pizza.sink,lifeTime:max,12069.659618022
Third-n2-19-20191016-17:05:04-14456,19,Pizza.sink,lifeTime:max,11367.423215813
Third-n2-2-20191016-17:04:33-1684,2,Pizza.sink,lifeTime:max,10836.98174193
Third-n2-3-20191016-17:04:34-8560,3,Pizza.sink,lifeTime:max,10992.667910218
Third-n2-4-20191016-17:04:36-14220,4,Pizza.sink,lifeTime:max,10821.686745815
Third-n2-5-20191016-17:04:37-8748,5,Pizza.sink,lifeTime:max,13837.182106888
Third-n2-6-20191016-17:04:39-11644,6,Pizza.sink,lifeTime:max,10989.894830428
Third-n2-7-20191016-17:04:41-14952,7,Pizza.sink,lifeTime:max,12165.086631853
Third-n2-8-20191016-17:04:44-2476,8,Pizza.sink,lifeTime:max,12219.441596669
Third-n2-9-20191016-17:04:45-8596,9,Pizza.sink,lifeTime:max,10972.881237338
