run,repetition,Module,Name,
Third-n2-0-20191016-17:04:31-1552,0,Pizza.sink,lifeTimeU1:max,50.528295583298
Third-n2-1-20191016-17:04:32-12940,1,Pizza.sink,lifeTimeU1:max,62.630489615248
Third-n2-10-20191016-17:04:47-7760,10,Pizza.sink,lifeTimeU1:max,77.056177904138
Third-n2-11-20191016-17:04:49-12004,11,Pizza.sink,lifeTimeU1:max,53.85871220335
Third-n2-12-20191016-17:04:51-1964,12,Pizza.sink,lifeTimeU1:max,68.823175510317
Third-n2-13-20191016-17:04:53-6900,13,Pizza.sink,lifeTimeU1:max,57.331802506214
Third-n2-14-20191016-17:04:55-14444,14,Pizza.sink,lifeTimeU1:max,79.839078786246
Third-n2-15-20191016-17:04:56-1836,15,Pizza.sink,lifeTimeU1:max,67.775044339558
Third-n2-16-20191016-17:04:58-10488,16,Pizza.sink,lifeTimeU1:max,77.116455124522
Third-n2-17-20191016-17:05:00-4800,17,Pizza.sink,lifeTimeU1:max,59.110138333428
Third-n2-18-20191016-17:05:02-9352,18,Pizza.sink,lifeTimeU1:max,74.013560245992
Third-n2-19-20191016-17:05:04-14456,19,Pizza.sink,lifeTimeU1:max,64.151372858944
Third-n2-2-20191016-17:04:33-1684,2,Pizza.sink,lifeTimeU1:max,67.765580834894
Third-n2-3-20191016-17:04:34-8560,3,Pizza.sink,lifeTimeU1:max,51.197013014158
Third-n2-4-20191016-17:04:36-14220,4,Pizza.sink,lifeTimeU1:max,47.326575725181
Third-n2-5-20191016-17:04:37-8748,5,Pizza.sink,lifeTimeU1:max,67.49760385469
Third-n2-6-20191016-17:04:39-11644,6,Pizza.sink,lifeTimeU1:max,62.632749477912
Third-n2-7-20191016-17:04:41-14952,7,Pizza.sink,lifeTimeU1:max,45.793312195287
Third-n2-8-20191016-17:04:44-2476,8,Pizza.sink,lifeTimeU1:max,56.449654242151
Third-n2-9-20191016-17:04:45-8596,9,Pizza.sink,lifeTimeU1:max,67.656711301571
