run,repetition,Module,Name,
Third-n3-0-20191016-17:04:35-14784,0,Pizza.sink,lifeTime:min,0.074938458792
Third-n3-1-20191016-17:04:37-5720,1,Pizza.sink,lifeTime:min,0.131773224372
Third-n3-10-20191016-17:04:53-15112,10,Pizza.sink,lifeTime:min,0.099359027325
Third-n3-11-20191016-17:04:54-11348,11,Pizza.sink,lifeTime:min,0.075195354294
Third-n3-12-20191016-17:04:56-10556,12,Pizza.sink,lifeTime:min,0.110405618948
Third-n3-13-20191016-17:04:58-13380,13,Pizza.sink,lifeTime:min,0.085581725839
Third-n3-14-20191016-17:05:00-15028,14,Pizza.sink,lifeTime:min,0.037523489039
Third-n3-15-20191016-17:05:02-11752,15,Pizza.sink,lifeTime:min,0.046898423729
Third-n3-16-20191016-17:05:04-8688,16,Pizza.sink,lifeTime:min,0.104677453156
Third-n3-17-20191016-17:05:05-10676,17,Pizza.sink,lifeTime:min,0.057617441278
Third-n3-18-20191016-17:05:07-668,18,Pizza.sink,lifeTime:min,0.095860825099
Third-n3-19-20191016-17:05:08-12064,19,Pizza.sink,lifeTime:min,0.102832511531
Third-n3-2-20191016-17:04:39-10988,2,Pizza.sink,lifeTime:min,0.054754432675
Third-n3-3-20191016-17:04:40-15160,3,Pizza.sink,lifeTime:min,0.082901441198
Third-n3-4-20191016-17:04:42-14832,4,Pizza.sink,lifeTime:min,0.033450826906
Third-n3-5-20191016-17:04:44-5352,5,Pizza.sink,lifeTime:min,0.08930977041
Third-n3-6-20191016-17:04:46-9676,6,Pizza.sink,lifeTime:min,0.006042566586
Third-n3-7-20191016-17:04:47-924,7,Pizza.sink,lifeTime:min,0.050188263615
Third-n3-8-20191016-17:04:49-11688,8,Pizza.sink,lifeTime:min,0.027660318763
Third-n3-9-20191016-17:04:51-8260,9,Pizza.sink,lifeTime:min,0.044281123524
