run,repetition,Module,Name,
Third-n4-0-20191016-17:04:38-860,0,Pizza.sink,lifeTimeU1:mean,9.0325957484675
Third-n4-1-20191016-17:04:40-2844,1,Pizza.sink,lifeTimeU1:mean,8.5250861877333
Third-n4-10-20191016-17:04:58-14820,10,Pizza.sink,lifeTimeU1:mean,8.1874924790211
Third-n4-11-20191016-17:05:00-10932,11,Pizza.sink,lifeTimeU1:mean,8.2820980038727
Third-n4-12-20191016-17:05:02-5372,12,Pizza.sink,lifeTimeU1:mean,8.8458747010616
Third-n4-13-20191016-17:05:03-11872,13,Pizza.sink,lifeTimeU1:mean,8.6498639244607
Third-n4-14-20191016-17:05:05-4240,14,Pizza.sink,lifeTimeU1:mean,9.0118375671893
Third-n4-15-20191016-17:05:07-13000,15,Pizza.sink,lifeTimeU1:mean,8.1919625731955
Third-n4-16-20191016-17:05:08-15056,16,Pizza.sink,lifeTimeU1:mean,9.1349288113412
Third-n4-17-20191016-17:05:10-10920,17,Pizza.sink,lifeTimeU1:mean,8.7228525922836
Third-n4-18-20191016-17:05:11-13832,18,Pizza.sink,lifeTimeU1:mean,8.6964296346354
Third-n4-19-20191016-17:05:12-9820,19,Pizza.sink,lifeTimeU1:mean,8.5364003737007
Third-n4-2-20191016-17:04:42-15244,2,Pizza.sink,lifeTimeU1:mean,8.4975954125515
Third-n4-3-20191016-17:04:44-14568,3,Pizza.sink,lifeTimeU1:mean,8.8520453787265
Third-n4-4-20191016-17:04:46-12564,4,Pizza.sink,lifeTimeU1:mean,8.5274636772399
Third-n4-5-20191016-17:04:48-14452,5,Pizza.sink,lifeTimeU1:mean,8.7371265401001
Third-n4-6-20191016-17:04:50-8444,6,Pizza.sink,lifeTimeU1:mean,8.1189581001453
Third-n4-7-20191016-17:04:53-15260,7,Pizza.sink,lifeTimeU1:mean,8.8033708935005
Third-n4-8-20191016-17:04:54-7984,8,Pizza.sink,lifeTimeU1:mean,9.2433408991959
Third-n4-9-20191016-17:04:56-13552,9,Pizza.sink,lifeTimeU1:mean,8.2742394797544
