run,repetition,Module,Name,
Third-n5-0-20191016-17:04:40-14676,0,Pizza.EntryQueueU2,queueLength:mean,651.5091968468
Third-n5-1-20191016-17:04:43-14884,1,Pizza.EntryQueueU2,queueLength:mean,532.96638283755
Third-n5-10-20191016-17:05:00-15008,10,Pizza.EntryQueueU2,queueLength:mean,359.76708212775
Third-n5-11-20191016-17:05:02-1420,11,Pizza.EntryQueueU2,queueLength:mean,429.63663530714
Third-n5-12-20191016-17:05:04-4424,12,Pizza.EntryQueueU2,queueLength:mean,443.45316622691
Third-n5-13-20191016-17:05:05-3792,13,Pizza.EntryQueueU2,queueLength:mean,441.03244444444
Third-n5-14-20191016-17:05:07-8748,14,Pizza.EntryQueueU2,queueLength:mean,538.58585970347
Third-n5-15-20191016-17:05:08-2844,15,Pizza.EntryQueueU2,queueLength:mean,518.00803930326
Third-n5-16-20191016-17:05:09-8088,16,Pizza.EntryQueueU2,queueLength:mean,497.49626324596
Third-n5-17-20191016-17:05:11-9980,17,Pizza.EntryQueueU2,queueLength:mean,605.7412375595
Third-n5-18-20191016-17:05:12-7008,18,Pizza.EntryQueueU2,queueLength:mean,483.19645232816
Third-n5-19-20191016-17:05:13-3692,19,Pizza.EntryQueueU2,queueLength:mean,510.06074714555
Third-n5-2-20191016-17:04:46-7204,2,Pizza.EntryQueueU2,queueLength:mean,471.943133165
Third-n5-3-20191016-17:04:47-2872,3,Pizza.EntryQueueU2,queueLength:mean,471.79793379249
Third-n5-4-20191016-17:04:50-12832,4,Pizza.EntryQueueU2,queueLength:mean,594.55260791367
Third-n5-5-20191016-17:04:51-4784,5,Pizza.EntryQueueU2,queueLength:mean,480.91642228739
Third-n5-6-20191016-17:04:53-9768,6,Pizza.EntryQueueU2,queueLength:mean,619.92835952093
Third-n5-7-20191016-17:04:55-13644,7,Pizza.EntryQueueU2,queueLength:mean,466.54059781396
Third-n5-8-20191016-17:04:56-7672,8,Pizza.EntryQueueU2,queueLength:mean,361.49229781772
Third-n5-9-20191016-17:04:58-14952,9,Pizza.EntryQueueU2,queueLength:mean,501.73572774637
