run,repetition,Module,Name,
Third-n5-0-20191016-17:04:40-14676,0,Pizza.sink,lifeTime:mean,1274.7992710337
Third-n5-1-20191016-17:04:43-14884,1,Pizza.sink,lifeTime:mean,1122.5105033615
Third-n5-10-20191016-17:05:00-15008,10,Pizza.sink,lifeTime:mean,791.62136458591
Third-n5-11-20191016-17:05:02-1420,11,Pizza.sink,lifeTime:mean,912.65973581931
Third-n5-12-20191016-17:05:04-4424,12,Pizza.sink,lifeTime:mean,937.04620841025
Third-n5-13-20191016-17:05:05-3792,13,Pizza.sink,lifeTime:mean,948.34649054353
Third-n5-14-20191016-17:05:07-8748,14,Pizza.sink,lifeTime:mean,1083.493768884
Third-n5-15-20191016-17:05:08-2844,15,Pizza.sink,lifeTime:mean,1067.7791060045
Third-n5-16-20191016-17:05:09-8088,16,Pizza.sink,lifeTime:mean,1002.23877246
Third-n5-17-20191016-17:05:11-9980,17,Pizza.sink,lifeTime:mean,1224.0215143248
Third-n5-18-20191016-17:05:12-7008,18,Pizza.sink,lifeTime:mean,1010.0607617677
Third-n5-19-20191016-17:05:13-3692,19,Pizza.sink,lifeTime:mean,1037.8810929727
Third-n5-2-20191016-17:04:46-7204,2,Pizza.sink,lifeTime:mean,1037.9417201346
Third-n5-3-20191016-17:04:47-2872,3,Pizza.sink,lifeTime:mean,1012.8211274991
Third-n5-4-20191016-17:04:50-12832,4,Pizza.sink,lifeTime:mean,1218.4039955966
Third-n5-5-20191016-17:04:51-4784,5,Pizza.sink,lifeTime:mean,965.78009832337
Third-n5-6-20191016-17:04:53-9768,6,Pizza.sink,lifeTime:mean,1254.1578514718
Third-n5-7-20191016-17:04:55-13644,7,Pizza.sink,lifeTime:mean,975.41047941431
Third-n5-8-20191016-17:04:56-7672,8,Pizza.sink,lifeTime:mean,811.74921631222
Third-n5-9-20191016-17:04:58-14952,9,Pizza.sink,lifeTime:mean,1064.7445788376
