Config,Name,N,Mean,Std Dev,Var,Std Err,Min ConfInt t95,Max ConfInt t95,Min ConfInt t90,Max ConfInt t90
First-n2,lifeTime:max,2,9400.346,831.208,690906.054,185.864,9012.634,9788.057,9079.731,9720.961
First-n2,lifeTime:mean,2,1214.859,159.814,25540.672,35.736,1140.315,1289.404,1153.215,1276.503
First-n2,lifeTime:min,2,0.026,0.016,0.0,0.004,0.019,0.034,0.02,0.032
First-n2,lifeTimeU1:max,2,54.601,8.994,80.89,2.011,50.406,58.796,51.132,58.07
First-n2,lifeTimeU1:mean,2,8.037,0.59,0.348,0.132,7.762,8.312,7.809,8.264
First-n2,lifeTimeU1:min,2,0.028,0.016,0.0,0.004,0.021,0.036,0.022,0.034
First-n2,lifeTimeU2:max,2,9400.346,831.208,690906.054,185.864,9012.634,9788.057,9079.731,9720.961
First-n2,lifeTimeU2:mean,2,4760.686,771.239,594810.02,172.454,4400.946,5120.426,4463.202,5058.17
First-n2,lifeTimeU2:min,2,0.919,1.577,2.486,0.353,0.183,1.654,0.31,1.527
First-n3,lifeTime:max,3,3767.965,1095.917,1201034.895,245.055,3256.781,4279.149,3345.246,4190.684
First-n3,lifeTime:mean,3,561.344,210.719,44402.377,47.118,463.056,659.633,480.065,642.623
First-n3,lifeTime:min,3,0.012,0.012,0.0,0.003,0.006,0.018,0.007,0.017
First-n3,lifeTimeU1:max,3,55.528,13.359,178.466,2.987,49.297,61.76,50.375,60.681
First-n3,lifeTimeU1:mean,3,7.105,0.511,0.261,0.114,6.867,7.344,6.908,7.302
First-n3,lifeTimeU1:min,3,0.012,0.012,0.0,0.003,0.007,0.018,0.008,0.017
First-n3,lifeTimeU2:max,3,3767.965,1095.917,1201034.895,245.055,3256.781,4279.149,3345.246,4190.684
First-n3,lifeTimeU2:mean,3,1842.63,747.624,558941.006,167.174,1493.905,2191.354,1554.255,2131.004
First-n3,lifeTimeU2:min,3,13.87,61.47,3778.516,13.745,-14.802,42.543,-9.84,37.581
First-n4,lifeTime:max,4,912.261,367.886,135340.322,82.262,740.663,1083.859,770.359,1054.163
