Config,Name,N,Mean,Std Dev,Var,Std Err,Min ConfInt t95,Max ConfInt t95,Min ConfInt t90,Max ConfInt t90
First-n2,lifeTime,2,1214.859,159.814,25540.672,35.736,1140.315,1289.404,1153.215,1276.503
First-n2,lifeTimeU1,2,8.037,0.59,0.348,0.132,7.762,8.312,7.809,8.264
First-n2,lifeTimeU2,2,4760.686,771.239,594810.02,172.454,4400.946,5120.426,4463.202,5058.17
First-n2,queueLengthU1,2,3.794,0.329,0.108,0.074,3.64,3.947,3.667,3.921
First-n2,queueLengthU2,2,1186.047,171.487,29407.708,38.346,1106.058,1266.036,1119.901,1252.193
First-n3,lifeTime,3,561.344,210.719,44402.377,47.118,463.056,659.633,480.065,642.623
First-n3,lifeTimeU1,3,7.105,0.511,0.261,0.114,6.867,7.344,6.908,7.302
First-n3,lifeTimeU2,3,1842.63,747.624,558941.006,167.174,1493.905,2191.354,1554.255,2131.004
First-n3,queueLengthU1,3,3.391,0.265,0.07,0.059,3.268,3.515,3.289,3.494
First-n3,queueLengthU2,3,461.817,181.462,32928.495,40.576,377.175,546.459,391.823,531.811
First-n4,lifeTime,4,106.738,92.179,8497.023,20.612,63.742,149.734,71.182,142.294
First-n4,lifeTimeU1,4,5.991,0.637,0.405,0.142,5.694,6.288,5.746,6.237
First-n4,lifeTimeU2,4,311.238,280.481,78669.334,62.717,180.41,442.067,203.051,419.426
First-n4,queueLengthU1,4,2.94,0.319,0.102,0.071,2.791,3.088,2.817,3.063
First-n4,queueLengthU2,4,80.053,69.739,4863.529,15.594,47.524,112.583,53.154,106.953
First-n5,lifeTime,5,34.223,9.859,97.193,2.204,29.624,38.821,30.42,38.026
First-n5,lifeTimeU1,5,5.19,0.465,0.217,0.104,4.973,5.407,5.011,5.37
First-n5,lifeTimeU2,5,92.45,28.971,839.306,6.478,78.937,105.963,81.275,103.624
First-n5,queueLengthU1,5,2.677,0.248,0.061,0.055,2.562,2.793,2.582,2.773
