run,repetition,Module,Name,
First-n2-0-20191016-17:03:11-8384,0,Pizza.EntryQueueU2,queueLength:mean,1333.0637623762
First-n2-1-20191016-17:03:14-15008,1,Pizza.EntryQueueU2,queueLength:mean,1033.5716187642
First-n2-10-20191016-17:03:38-12096,10,Pizza.EntryQueueU2,queueLength:mean,1030.0195785501
First-n2-11-20191016-17:03:42-5084,11,Pizza.EntryQueueU2,queueLength:mean,1089.2618073048
First-n2-12-20191016-17:03:44-2416,12,Pizza.EntryQueueU2,queueLength:mean,1216.2057623049
First-n2-13-20191016-17:03:48-14428,13,Pizza.EntryQueueU2,queueLength:mean,1534.2819866688
First-n2-14-20191016-17:03:52-3628,14,Pizza.EntryQueueU2,queueLength:mean,1215.5742574257
First-n2-15-20191016-17:03:54-14976,15,Pizza.EntryQueueU2,queueLength:mean,1417.0525726174
First-n2-16-20191016-17:03:57-12392,16,Pizza.EntryQueueU2,queueLength:mean,1025.3786392279
First-n2-17-20191016-17:03:59-13080,17,Pizza.EntryQueueU2,queueLength:mean,888.5154964239
First-n2-18-20191016-17:04:02-9132,18,Pizza.EntryQueueU2,queueLength:mean,1292.1280507647
First-n2-19-20191016-17:04:04-8508,19,Pizza.EntryQueueU2,queueLength:mean,1041.5886637112
First-n2-2-20191016-17:03:16-11904,2,Pizza.EntryQueueU2,queueLength:mean,1077.7572104019
First-n2-3-20191016-17:03:19-7956,3,Pizza.EntryQueueU2,queueLength:mean,1081.325274216
First-n2-4-20191016-17:03:21-11924,4,Pizza.EntryQueueU2,queueLength:mean,1155.015792354
First-n2-5-20191016-17:03:24-5708,5,Pizza.EntryQueueU2,queueLength:mean,1100.0367814289
First-n2-6-20191016-17:03:27-11624,6,Pizza.EntryQueueU2,queueLength:mean,1292.1004545104
First-n2-7-20191016-17:03:30-7280,7,Pizza.EntryQueueU2,queueLength:mean,1509.198188466
First-n2-8-20191016-17:03:32-14656,8,Pizza.EntryQueueU2,queueLength:mean,1266.646057417
First-n2-9-20191016-17:03:35-10520,9,Pizza.EntryQueueU2,queueLength:mean,1122.2167843262
