run,repetition,Module,Name,
First-n2-0-20191016-17:03:11-8384,0,Pizza.sink,lifeTime:mean,1387.2114278097
First-n2-1-20191016-17:03:14-15008,1,Pizza.sink,lifeTime:mean,1101.3488350213
First-n2-10-20191016-17:03:38-12096,10,Pizza.sink,lifeTime:mean,1036.6011485846
First-n2-11-20191016-17:03:42-5084,11,Pizza.sink,lifeTime:mean,1093.4730429441
First-n2-12-20191016-17:03:44-2416,12,Pizza.sink,lifeTime:mean,1205.3567347919
First-n2-13-20191016-17:03:48-14428,13,Pizza.sink,lifeTime:mean,1568.5203079827
First-n2-14-20191016-17:03:52-3628,14,Pizza.sink,lifeTime:mean,1277.4894340008
First-n2-15-20191016-17:03:54-14976,15,Pizza.sink,lifeTime:mean,1417.566160486
First-n2-16-20191016-17:03:57-12392,16,Pizza.sink,lifeTime:mean,1044.2369092419
First-n2-17-20191016-17:03:59-13080,17,Pizza.sink,lifeTime:mean,958.57871261354
First-n2-18-20191016-17:04:02-9132,18,Pizza.sink,lifeTime:mean,1265.5998715401
First-n2-19-20191016-17:04:04-8508,19,Pizza.sink,lifeTime:mean,1052.9339281694
First-n2-2-20191016-17:03:16-11904,2,Pizza.sink,lifeTime:mean,1132.7780306719
First-n2-3-20191016-17:03:19-7956,3,Pizza.sink,lifeTime:mean,1150.0453631935
First-n2-4-20191016-17:03:21-11924,4,Pizza.sink,lifeTime:mean,1252.8244774394
First-n2-5-20191016-17:03:24-5708,5,Pizza.sink,lifeTime:mean,1170.3379483529
First-n2-6-20191016-17:03:27-11624,6,Pizza.sink,lifeTime:mean,1281.39221408
First-n2-7-20191016-17:03:30-7280,7,Pizza.sink,lifeTime:mean,1461.1641735541
First-n2-8-20191016-17:03:32-14656,8,Pizza.sink,lifeTime:mean,1326.8741576005
First-n2-9-20191016-17:03:35-10520,9,Pizza.sink,lifeTime:mean,1112.8525066402
