run,repetition,Module,Name,
First-n3-0-20191016-17:03:12-11604,0,Pizza.sink,lifeTimeU2:max,5941.2805935271
First-n3-1-20191016-17:03:15-11220,1,Pizza.sink,lifeTimeU2:max,1976.3552322045
First-n3-10-20191016-17:03:40-5404,10,Pizza.sink,lifeTimeU2:max,3823.7986299996
First-n3-11-20191016-17:03:42-10684,11,Pizza.sink,lifeTimeU2:max,2153.620725655
First-n3-12-20191016-17:03:47-6384,12,Pizza.sink,lifeTimeU2:max,3349.7281471837
First-n3-13-20191016-17:03:50-15056,13,Pizza.sink,lifeTimeU2:max,5070.4490268627
First-n3-14-20191016-17:03:54-12896,14,Pizza.sink,lifeTimeU2:max,3525.9818992519
First-n3-15-20191016-17:03:56-8868,15,Pizza.sink,lifeTimeU2:max,3886.4503923582
First-n3-16-20191016-17:03:59-15356,16,Pizza.sink,lifeTimeU2:max,4158.0863908486
First-n3-17-20191016-17:04:01-11504,17,Pizza.sink,lifeTimeU2:max,3366.5434064634
First-n3-18-20191016-17:04:03-12344,18,Pizza.sink,lifeTimeU2:max,3173.7377109788
First-n3-19-20191016-17:04:06-11860,19,Pizza.sink,lifeTimeU2:max,6325.8233042082
First-n3-2-20191016-17:03:17-6320,2,Pizza.sink,lifeTimeU2:max,4533.6971327386
First-n3-3-20191016-17:03:19-13988,3,Pizza.sink,lifeTimeU2:max,2561.8429744072
First-n3-4-20191016-17:03:23-9424,4,Pizza.sink,lifeTimeU2:max,3173.7224018638
First-n3-5-20191016-17:03:25-13964,5,Pizza.sink,lifeTimeU2:max,3612.4765436013
First-n3-6-20191016-17:03:28-4500,6,Pizza.sink,lifeTimeU2:max,3190.1941301809
First-n3-7-20191016-17:03:31-5568,7,Pizza.sink,lifeTimeU2:max,4329.9527888751
First-n3-8-20191016-17:03:34-12004,8,Pizza.sink,lifeTimeU2:max,3574.3879655187
First-n3-9-20191016-17:03:36-1772,9,Pizza.sink,lifeTimeU2:max,3631.1696462633
