run,repetition,Module,Name,
First-n4-0-20191016-17:03:12-6104,0,Pizza.sink,lifeTime:max,734.7292485287
First-n4-1-20191016-17:03:16-3920,1,Pizza.sink,lifeTime:max,764.98545821649
First-n4-10-20191016-17:03:40-11200,10,Pizza.sink,lifeTime:max,947.96513439841
First-n4-11-20191016-17:03:42-8976,11,Pizza.sink,lifeTime:max,868.50287194716
First-n4-12-20191016-17:03:47-15308,12,Pizza.sink,lifeTime:max,1116.1851949008
First-n4-13-20191016-17:03:50-10788,13,Pizza.sink,lifeTime:max,711.27166144043
First-n4-14-20191016-17:03:54-2580,14,Pizza.sink,lifeTime:max,835.47234822183
First-n4-15-20191016-17:03:57-14884,15,Pizza.sink,lifeTime:max,592.14475796075
First-n4-16-20191016-17:03:59-7584,16,Pizza.sink,lifeTime:max,1045.3341677796
First-n4-17-20191016-17:04:02-14532,17,Pizza.sink,lifeTime:max,811.39012622721
First-n4-18-20191016-17:04:04-14664,18,Pizza.sink,lifeTime:max,726.37101273716
First-n4-19-20191016-17:04:06-9352,19,Pizza.sink,lifeTime:max,1012.4050149028
First-n4-2-20191016-17:03:18-15160,2,Pizza.sink,lifeTime:max,1731.4657458446
First-n4-3-20191016-17:03:21-800,3,Pizza.sink,lifeTime:max,1890.3314063722
First-n4-4-20191016-17:03:24-13984,4,Pizza.sink,lifeTime:max,406.98876306447
First-n4-5-20191016-17:03:27-11300,5,Pizza.sink,lifeTime:max,838.99104557093
First-n4-6-20191016-17:03:30-12284,6,Pizza.sink,lifeTime:max,1220.4796727086
First-n4-7-20191016-17:03:33-15276,7,Pizza.sink,lifeTime:max,495.90557386804
First-n4-8-20191016-17:03:35-8868,8,Pizza.sink,lifeTime:max,890.30796771204
First-n4-9-20191016-17:03:38-7512,9,Pizza.sink,lifeTime:max,603.99202420158
