run,repetition,Module,Name,
First-n5-0-20191016-17:03:13-9552,0,Pizza.sink,lifeTimeU2:mean,58.559262753057
First-n5-1-20191016-17:03:16-15304,1,Pizza.sink,lifeTimeU2:mean,57.995997393366
First-n5-10-20191016-17:03:38-14932,10,Pizza.sink,lifeTimeU2:mean,101.31327922158
First-n5-11-20191016-17:03:41-7048,11,Pizza.sink,lifeTimeU2:mean,125.16885408433
First-n5-12-20191016-17:03:44-12200,12,Pizza.sink,lifeTimeU2:mean,67.212178500537
First-n5-13-20191016-17:03:48-14404,13,Pizza.sink,lifeTimeU2:mean,63.275837198442
First-n5-14-20191016-17:03:52-1212,14,Pizza.sink,lifeTimeU2:mean,84.811107851778
First-n5-15-20191016-17:03:56-14752,15,Pizza.sink,lifeTimeU2:mean,92.631147471893
First-n5-16-20191016-17:03:59-9884,16,Pizza.sink,lifeTimeU2:mean,103.09689275704
First-n5-17-20191016-17:04:02-5016,17,Pizza.sink,lifeTimeU2:mean,166.01272928384
First-n5-18-20191016-17:04:04-13452,18,Pizza.sink,lifeTimeU2:mean,104.11448496053
First-n5-19-20191016-17:04:06-11968,19,Pizza.sink,lifeTimeU2:mean,83.23648093763
First-n5-2-20191016-17:03:18-9176,2,Pizza.sink,lifeTimeU2:mean,134.83221685519
First-n5-3-20191016-17:03:21-5328,3,Pizza.sink,lifeTimeU2:mean,74.754927689658
First-n5-4-20191016-17:03:23-14008,4,Pizza.sink,lifeTimeU2:mean,61.472418134477
First-n5-5-20191016-17:03:25-7076,5,Pizza.sink,lifeTimeU2:mean,96.290001250545
First-n5-6-20191016-17:03:28-14956,6,Pizza.sink,lifeTimeU2:mean,126.04811912687
First-n5-7-20191016-17:03:31-8536,7,Pizza.sink,lifeTimeU2:mean,101.79129702667
First-n5-8-20191016-17:03:33-8864,8,Pizza.sink,lifeTimeU2:mean,65.18726241298
First-n5-9-20191016-17:03:36-748,9,Pizza.sink,lifeTimeU2:mean,81.191251952937
