run,repetition,Module,Name,
Second-n2-0-20191016-17:03:15-14860,0,Pizza.sink,lifeTime:mean,19.614008392742
Second-n2-1-20191016-17:03:18-6176,1,Pizza.sink,lifeTime:mean,15.546567023862
Second-n2-10-20191016-17:03:35-15220,10,Pizza.sink,lifeTime:mean,19.208553200518
Second-n2-11-20191016-17:03:38-14752,11,Pizza.sink,lifeTime:mean,16.583619085078
Second-n2-12-20191016-17:03:40-15280,12,Pizza.sink,lifeTime:mean,16.670241264915
Second-n2-13-20191016-17:03:42-10740,13,Pizza.sink,lifeTime:mean,21.250376660005
Second-n2-14-20191016-17:03:44-1888,14,Pizza.sink,lifeTime:mean,16.945468400973
Second-n2-15-20191016-17:03:47-5724,15,Pizza.sink,lifeTime:mean,18.332823546447
Second-n2-16-20191016-17:03:48-8640,16,Pizza.sink,lifeTime:mean,30.044804979975
Second-n2-17-20191016-17:03:52-12156,17,Pizza.sink,lifeTime:mean,21.051373585523
Second-n2-18-20191016-17:03:54-1480,18,Pizza.sink,lifeTime:mean,21.919284147409
Second-n2-19-20191016-17:03:56-5568,19,Pizza.sink,lifeTime:mean,16.397939174337
Second-n2-2-20191016-17:03:19-7748,2,Pizza.sink,lifeTime:mean,18.450252411329
Second-n2-3-20191016-17:03:21-7648,3,Pizza.sink,lifeTime:mean,31.835033473943
Second-n2-4-20191016-17:03:24-3624,4,Pizza.sink,lifeTime:mean,27.149931702205
Second-n2-5-20191016-17:03:25-15212,5,Pizza.sink,lifeTime:mean,18.807784119098
Second-n2-6-20191016-17:03:28-14148,6,Pizza.sink,lifeTime:mean,16.53475839383
Second-n2-7-20191016-17:03:30-10968,7,Pizza.sink,lifeTime:mean,22.935108201513
Second-n2-8-20191016-17:03:32-1328,8,Pizza.sink,lifeTime:mean,31.826763999414
Second-n2-9-20191016-17:03:34-15236,9,Pizza.sink,lifeTime:mean,12.290077333716
