run,repetition,Module,Name,
Second-n3-0-20191016-17:03:37-14584,0,Pizza.EntryQueueU2,queueLength:mean,4.3482769456374
Second-n3-1-20191016-17:03:40-14452,1,Pizza.EntryQueueU2,queueLength:mean,5.4359281437126
Second-n3-10-20191016-17:04:01-14520,10,Pizza.EntryQueueU2,queueLength:mean,3.9189024390244
Second-n3-11-20191016-17:04:03-12824,11,Pizza.EntryQueueU2,queueLength:mean,4.2414703493095
Second-n3-12-20191016-17:04:06-11372,12,Pizza.EntryQueueU2,queueLength:mean,3.753235908142
Second-n3-13-20191016-17:04:08-15284,13,Pizza.EntryQueueU2,queueLength:mean,3.8625751860536
Second-n3-14-20191016-17:04:10-8708,14,Pizza.EntryQueueU2,queueLength:mean,4.5746168877918
Second-n3-15-20191016-17:04:11-13836,15,Pizza.EntryQueueU2,queueLength:mean,3.8908
Second-n3-16-20191016-17:04:13-2060,16,Pizza.EntryQueueU2,queueLength:mean,3.3191556728232
Second-n3-17-20191016-17:04:14-15232,17,Pizza.EntryQueueU2,queueLength:mean,4.4309217249131
Second-n3-18-20191016-17:04:16-15316,18,Pizza.EntryQueueU2,queueLength:mean,3.6268254790264
Second-n3-19-20191016-17:04:17-3616,19,Pizza.EntryQueueU2,queueLength:mean,4.2628697757659
Second-n3-2-20191016-17:03:42-2192,2,Pizza.EntryQueueU2,queueLength:mean,3.5879046528573
Second-n3-3-20191016-17:03:44-1552,3,Pizza.EntryQueueU2,queueLength:mean,4.3790487904879
Second-n3-4-20191016-17:03:47-12900,4,Pizza.EntryQueueU2,queueLength:mean,3.7230112119594
Second-n3-5-20191016-17:03:48-14644,5,Pizza.EntryQueueU2,queueLength:mean,3.6937834154524
Second-n3-6-20191016-17:03:52-14396,6,Pizza.EntryQueueU2,queueLength:mean,3.7769334859998
Second-n3-7-20191016-17:03:53-12500,7,Pizza.EntryQueueU2,queueLength:mean,3.3458701298701
Second-n3-8-20191016-17:03:56-11752,8,Pizza.EntryQueueU2,queueLength:mean,3.6195617989307
Second-n3-9-20191016-17:03:58-13240,9,Pizza.EntryQueueU2,queueLength:mean,3.8717738631708
