run,repetition,Module,Name,
Second-n4-0-20191016-17:04:08-4624,0,Pizza.sink,lifeTime:min,0.000444987934
Second-n4-1-20191016-17:04:10-14436,1,Pizza.sink,lifeTime:min,4.2225765e-005
Second-n4-10-20191016-17:04:21-7708,10,Pizza.sink,lifeTime:min,0.001898869457
Second-n4-11-20191016-17:04:22-7568,11,Pizza.sink,lifeTime:min,0.00057655008
Second-n4-12-20191016-17:04:23-13816,12,Pizza.sink,lifeTime:min,0.000121854638
Second-n4-13-20191016-17:04:24-8004,13,Pizza.sink,lifeTime:min,0.000404172501
Second-n4-14-20191016-17:04:25-7220,14,Pizza.sink,lifeTime:min,0.000454139645
Second-n4-15-20191016-17:04:27-6148,15,Pizza.sink,lifeTime:min,0.000877774418
Second-n4-16-20191016-17:04:28-13016,16,Pizza.sink,lifeTime:min,0.000734522672
Second-n4-17-20191016-17:04:29-5368,17,Pizza.sink,lifeTime:min,0.000995980112
Second-n4-18-20191016-17:04:31-11752,18,Pizza.sink,lifeTime:min,0.00022568417
Second-n4-19-20191016-17:04:32-11552,19,Pizza.sink,lifeTime:min,0.000277732292
Second-n4-2-20191016-17:04:11-7548,2,Pizza.sink,lifeTime:min,0.000574321749
Second-n4-3-20191016-17:04:13-13840,3,Pizza.sink,lifeTime:min,0.000772401447
Second-n4-4-20191016-17:04:14-10620,4,Pizza.sink,lifeTime:min,0.000206648675
Second-n4-5-20191016-17:04:16-3568,5,Pizza.sink,lifeTime:min,0.00113473649
Second-n4-6-20191016-17:04:17-14980,6,Pizza.sink,lifeTime:min,4.6343215e-005
Second-n4-7-20191016-17:04:18-5740,7,Pizza.sink,lifeTime:min,8.334484e-006
Second-n4-8-20191016-17:04:19-9536,8,Pizza.sink,lifeTime:min,0.000163055352
Second-n4-9-20191016-17:04:20-11052,9,Pizza.sink,lifeTime:min,0.000238757868
