run,repetition,Module,Name,
Second-n5-0-20191016-17:04:24-13320,0,Pizza.sink,lifeTimeU2:mean,8.0045283062162
Second-n5-1-20191016-17:04:26-8864,1,Pizza.sink,lifeTimeU2:mean,9.7481232682255
Second-n5-10-20191016-17:04:39-14852,10,Pizza.sink,lifeTimeU2:mean,8.7346292719241
Second-n5-11-20191016-17:04:42-14740,11,Pizza.sink,lifeTimeU2:mean,8.6200232989581
Second-n5-12-20191016-17:04:44-2824,12,Pizza.sink,lifeTimeU2:mean,8.0752928461479
Second-n5-13-20191016-17:04:46-15128,13,Pizza.sink,lifeTimeU2:mean,7.6317248241835
Second-n5-14-20191016-17:04:48-14972,14,Pizza.sink,lifeTimeU2:mean,9.2869491565976
Second-n5-15-20191016-17:04:51-15044,15,Pizza.sink,lifeTimeU2:mean,9.4518464542083
Second-n5-16-20191016-17:04:55-5588,16,Pizza.sink,lifeTimeU2:mean,8.6296155842022
Second-n5-17-20191016-17:04:56-8620,17,Pizza.sink,lifeTimeU2:mean,8.377282514086
Second-n5-18-20191016-17:04:59-8592,18,Pizza.sink,lifeTimeU2:mean,9.3647821912664
Second-n5-19-20191016-17:05:02-15356,19,Pizza.sink,lifeTimeU2:mean,8.5508467813512
Second-n5-2-20191016-17:04:27-15048,2,Pizza.sink,lifeTimeU2:mean,7.4635426043436
Second-n5-3-20191016-17:04:28-9176,3,Pizza.sink,lifeTimeU2:mean,7.7807324866922
Second-n5-4-20191016-17:04:29-2900,4,Pizza.sink,lifeTimeU2:mean,9.3236484973366
Second-n5-5-20191016-17:04:31-15356,5,Pizza.sink,lifeTimeU2:mean,9.8080628627435
Second-n5-6-20191016-17:04:32-11044,6,Pizza.sink,lifeTimeU2:mean,9.6145126724153
Second-n5-7-20191016-17:04:34-4284,7,Pizza.sink,lifeTimeU2:mean,8.9993324403646
Second-n5-8-20191016-17:04:35-14876,8,Pizza.sink,lifeTimeU2:mean,8.3664801879761
Second-n5-9-20191016-17:04:37-2336,9,Pizza.sink,lifeTimeU2:mean,8.8797139554629
