run,repetition,Module,Name,
Third-n2-0-20191016-17:04:31-1552,0,Pizza.EntryQueueU2,queueLength:mean,896.36581764489
Third-n2-1-20191016-17:04:32-12940,1,Pizza.EntryQueueU2,queueLength:mean,798.72125813449
Third-n2-10-20191016-17:04:47-7760,10,Pizza.EntryQueueU2,queueLength:mean,904.1768599093
Third-n2-11-20191016-17:04:49-12004,11,Pizza.EntryQueueU2,queueLength:mean,953.44691844015
Third-n2-12-20191016-17:04:51-1964,12,Pizza.EntryQueueU2,queueLength:mean,868.62608695652
Third-n2-13-20191016-17:04:53-6900,13,Pizza.EntryQueueU2,queueLength:mean,971.01388187784
Third-n2-14-20191016-17:04:55-14444,14,Pizza.EntryQueueU2,queueLength:mean,1044.1933569083
Third-n2-15-20191016-17:04:56-1836,15,Pizza.EntryQueueU2,queueLength:mean,830.86686245717
Third-n2-16-20191016-17:04:58-10488,16,Pizza.EntryQueueU2,queueLength:mean,975.60679133858
Third-n2-17-20191016-17:05:00-4800,17,Pizza.EntryQueueU2,queueLength:mean,1084.2089095582
Third-n2-18-20191016-17:05:02-9352,18,Pizza.EntryQueueU2,queueLength:mean,966.14348646948
Third-n2-19-20191016-17:05:04-14456,19,Pizza.EntryQueueU2,queueLength:mean,882.09048811014
Third-n2-2-20191016-17:04:33-1684,2,Pizza.EntryQueueU2,queueLength:mean,939.63333333333
Third-n2-3-20191016-17:04:34-8560,3,Pizza.EntryQueueU2,queueLength:mean,900.36380573842
Third-n2-4-20191016-17:04:36-14220,4,Pizza.EntryQueueU2,queueLength:mean,864.89125181247
Third-n2-5-20191016-17:04:37-8748,5,Pizza.EntryQueueU2,queueLength:mean,1163.150702759
Third-n2-6-20191016-17:04:39-11644,6,Pizza.EntryQueueU2,queueLength:mean,969.16394038531
Third-n2-7-20191016-17:04:41-14952,7,Pizza.EntryQueueU2,queueLength:mean,950.34052907412
Third-n2-8-20191016-17:04:44-2476,8,Pizza.EntryQueueU2,queueLength:mean,1009.4318794413
Third-n2-9-20191016-17:04:45-8596,9,Pizza.EntryQueueU2,queueLength:mean,881.8459338473
