run,repetition,Module,Name,
Third-n3-0-20191016-17:04:35-14784,0,Pizza.sink,lifeTimeU1:mean,9.6880540104189
Third-n3-1-20191016-17:04:37-5720,1,Pizza.sink,lifeTimeU1:mean,10.129657427695
Third-n3-10-20191016-17:04:53-15112,10,Pizza.sink,lifeTimeU1:mean,9.7320784004679
Third-n3-11-20191016-17:04:54-11348,11,Pizza.sink,lifeTimeU1:mean,9.3436325169376
Third-n3-12-20191016-17:04:56-10556,12,Pizza.sink,lifeTimeU1:mean,9.3577390179964
Third-n3-13-20191016-17:04:58-13380,13,Pizza.sink,lifeTimeU1:mean,8.9456778395704
Third-n3-14-20191016-17:05:00-15028,14,Pizza.sink,lifeTimeU1:mean,8.7177816803531
Third-n3-15-20191016-17:05:02-11752,15,Pizza.sink,lifeTimeU1:mean,9.3211808001095
Third-n3-16-20191016-17:05:04-8688,16,Pizza.sink,lifeTimeU1:mean,10.055213547657
Third-n3-17-20191016-17:05:05-10676,17,Pizza.sink,lifeTimeU1:mean,9.1864931142474
Third-n3-18-20191016-17:05:07-668,18,Pizza.sink,lifeTimeU1:mean,9.4896465896575
Third-n3-19-20191016-17:05:08-12064,19,Pizza.sink,lifeTimeU1:mean,9.2128537571445
Third-n3-2-20191016-17:04:39-10988,2,Pizza.sink,lifeTimeU1:mean,8.3890965360083
Third-n3-3-20191016-17:04:40-15160,3,Pizza.sink,lifeTimeU1:mean,9.7269730932249
Third-n3-4-20191016-17:04:42-14832,4,Pizza.sink,lifeTimeU1:mean,8.9166726492041
Third-n3-5-20191016-17:04:44-5352,5,Pizza.sink,lifeTimeU1:mean,9.3901700663032
Third-n3-6-20191016-17:04:46-9676,6,Pizza.sink,lifeTimeU1:mean,8.7130803630998
Third-n3-7-20191016-17:04:47-924,7,Pizza.sink,lifeTimeU1:mean,8.7027755198956
Third-n3-8-20191016-17:04:49-11688,8,Pizza.sink,lifeTimeU1:mean,9.8801863959757
Third-n3-9-20191016-17:04:51-8260,9,Pizza.sink,lifeTimeU1:mean,9.1824075030199
