run,repetition,Module,Name,
Third-n4-0-20191016-17:04:38-860,0,Pizza.sink,lifeTime:mean,1211.8440535422
Third-n4-1-20191016-17:04:40-2844,1,Pizza.sink,lifeTime:mean,1114.3817091172
Third-n4-10-20191016-17:04:58-14820,10,Pizza.sink,lifeTime:mean,951.67130152334
Third-n4-11-20191016-17:05:00-10932,11,Pizza.sink,lifeTime:mean,1058.6440512938
Third-n4-12-20191016-17:05:02-5372,12,Pizza.sink,lifeTime:mean,1170.7281364212
Third-n4-13-20191016-17:05:03-11872,13,Pizza.sink,lifeTime:mean,1151.8722143788
Third-n4-14-20191016-17:05:05-4240,14,Pizza.sink,lifeTime:mean,1384.883948612
Third-n4-15-20191016-17:05:07-13000,15,Pizza.sink,lifeTime:mean,1055.9019728925
Third-n4-16-20191016-17:05:08-15056,16,Pizza.sink,lifeTime:mean,1208.9520329637
Third-n4-17-20191016-17:05:10-10920,17,Pizza.sink,lifeTime:mean,1162.8374044933
Third-n4-18-20191016-17:05:11-13832,18,Pizza.sink,lifeTime:mean,1002.7782221731
Third-n4-19-20191016-17:05:12-9820,19,Pizza.sink,lifeTime:mean,911.19678757306
Third-n4-2-20191016-17:04:42-15244,2,Pizza.sink,lifeTime:mean,1025.1670667477
Third-n4-3-20191016-17:04:44-14568,3,Pizza.sink,lifeTime:mean,1156.5444464843
Third-n4-4-20191016-17:04:46-12564,4,Pizza.sink,lifeTime:mean,1168.2070459992
Third-n4-5-20191016-17:04:48-14452,5,Pizza.sink,lifeTime:mean,1045.236337128
Third-n4-6-20191016-17:04:50-8444,6,Pizza.sink,lifeTime:mean,766.04971349484
Third-n4-7-20191016-17:04:53-15260,7,Pizza.sink,lifeTime:mean,1213.1484143548
Third-n4-8-20191016-17:04:54-7984,8,Pizza.sink,lifeTime:mean,1426.2811256304
Third-n4-9-20191016-17:04:56-13552,9,Pizza.sink,lifeTime:mean,897.29241636548
