run,repetition,Module,Name,
Third-n5-0-20191016-17:04:40-14676,0,Pizza.sink,lifeTimeU1:max,77.798825001705
Third-n5-1-20191016-17:04:43-14884,1,Pizza.sink,lifeTimeU1:max,66.033489598336
Third-n5-10-20191016-17:05:00-15008,10,Pizza.sink,lifeTimeU1:max,50.123564215615
Third-n5-11-20191016-17:05:02-1420,11,Pizza.sink,lifeTimeU1:max,46.639292446491
Third-n5-12-20191016-17:05:04-4424,12,Pizza.sink,lifeTimeU1:max,42.108315107427
Third-n5-13-20191016-17:05:05-3792,13,Pizza.sink,lifeTimeU1:max,66.431252108326
Third-n5-14-20191016-17:05:07-8748,14,Pizza.sink,lifeTimeU1:max,57.497048931381
Third-n5-15-20191016-17:05:08-2844,15,Pizza.sink,lifeTimeU1:max,45.371918289131
Third-n5-16-20191016-17:05:09-8088,16,Pizza.sink,lifeTimeU1:max,44.665455588823
Third-n5-17-20191016-17:05:11-9980,17,Pizza.sink,lifeTimeU1:max,40.004420817028
Third-n5-18-20191016-17:05:12-7008,18,Pizza.sink,lifeTimeU1:max,49.122690162481
Third-n5-19-20191016-17:05:13-3692,19,Pizza.sink,lifeTimeU1:max,37.153698527689
Third-n5-2-20191016-17:04:46-7204,2,Pizza.sink,lifeTimeU1:max,61.658718479646
Third-n5-3-20191016-17:04:47-2872,3,Pizza.sink,lifeTimeU1:max,43.062874426161
Third-n5-4-20191016-17:04:50-12832,4,Pizza.sink,lifeTimeU1:max,55.920041198455
Third-n5-5-20191016-17:04:51-4784,5,Pizza.sink,lifeTimeU1:max,46.966293117403
Third-n5-6-20191016-17:04:53-9768,6,Pizza.sink,lifeTimeU1:max,43.46706935246
Third-n5-7-20191016-17:04:55-13644,7,Pizza.sink,lifeTimeU1:max,44.0206277844
Third-n5-8-20191016-17:04:56-7672,8,Pizza.sink,lifeTimeU1:max,45.712856199198
Third-n5-9-20191016-17:04:58-14952,9,Pizza.sink,lifeTimeU1:max,47.89368625382
