run,repetition,Module,Name,
Third-n5-0-20191016-17:04:40-14676,0,Pizza.sink,lifeTime:min,0.061904372671
Third-n5-1-20191016-17:04:43-14884,1,Pizza.sink,lifeTime:min,0.056807246018
Third-n5-10-20191016-17:05:00-15008,10,Pizza.sink,lifeTime:min,0.040239148979
Third-n5-11-20191016-17:05:02-1420,11,Pizza.sink,lifeTime:min,0.069583824992
Third-n5-12-20191016-17:05:04-4424,12,Pizza.sink,lifeTime:min,0.016181516944
Third-n5-13-20191016-17:05:05-3792,13,Pizza.sink,lifeTime:min,0.087004239728
Third-n5-14-20191016-17:05:07-8748,14,Pizza.sink,lifeTime:min,0.032032221134
Third-n5-15-20191016-17:05:08-2844,15,Pizza.sink,lifeTime:min,0.039171714544
Third-n5-16-20191016-17:05:09-8088,16,Pizza.sink,lifeTime:min,0.093342586108
Third-n5-17-20191016-17:05:11-9980,17,Pizza.sink,lifeTime:min,0.049538780611
Third-n5-18-20191016-17:05:12-7008,18,Pizza.sink,lifeTime:min,0.022131572025
Third-n5-19-20191016-17:05:13-3692,19,Pizza.sink,lifeTime:min,0.014029425184
Third-n5-2-20191016-17:04:46-7204,2,Pizza.sink,lifeTime:min,0.018980285516
Third-n5-3-20191016-17:04:47-2872,3,Pizza.sink,lifeTime:min,0.070467804052
Third-n5-4-20191016-17:04:50-12832,4,Pizza.sink,lifeTime:min,0.078739985788
Third-n5-5-20191016-17:04:51-4784,5,Pizza.sink,lifeTime:min,0.039792927279
Third-n5-6-20191016-17:04:53-9768,6,Pizza.sink,lifeTime:min,0.085183553547
Third-n5-7-20191016-17:04:55-13644,7,Pizza.sink,lifeTime:min,0.031518984968
Third-n5-8-20191016-17:04:56-7672,8,Pizza.sink,lifeTime:min,0.051901814872
Third-n5-9-20191016-17:04:58-14952,9,Pizza.sink,lifeTime:min,0.05292432026
