run,repetition,Module,Name,
First-n3-0-20191108-15:09:09-8436,0,Pizza.EntryQueueU1,queueLength:mean,3.139009656637
First-n3-10-20191108-15:10:19-10936,10,Pizza.EntryQueueU1,queueLength:mean,3.4880742871042
First-n3-11-20191108-15:10:29-3052,11,Pizza.EntryQueueU1,queueLength:mean,3.4007538581893
First-n3-12-20191108-15:10:35-10996,12,Pizza.EntryQueueU1,queueLength:mean,3.181239242685
First-n3-13-20191108-15:10:47-9176,13,Pizza.EntryQueueU1,queueLength:mean,3.3943048047833
First-n3-14-20191108-15:10:58-7636,14,Pizza.EntryQueueU1,queueLength:mean,3.2899882786815
First-n3-15-20191108-15:11:11-4348,15,Pizza.EntryQueueU1,queueLength:mean,3.0675180391708
First-n3-16-20191108-15:11:17-6732,16,Pizza.EntryQueueU1,queueLength:mean,3.6001898258985
First-n3-17-20191108-15:11:26-10244,17,Pizza.EntryQueueU1,queueLength:mean,3.1177004277135
First-n3-18-20191108-15:11:33-8416,18,Pizza.EntryQueueU1,queueLength:mean,3.1963749645993
First-n3-19-20191108-15:11:40-3988,19,Pizza.EntryQueueU1,queueLength:mean,3.0732193282972
First-n3-1-20191108-15:09:14-4716,1,Pizza.EntryQueueU1,queueLength:mean,3.4250475740796
First-n3-2-20191108-15:09:21-188,2,Pizza.EntryQueueU1,queueLength:mean,3.0652297786262
First-n3-3-20191108-15:09:28-3548,3,Pizza.EntryQueueU1,queueLength:mean,3.1720828349498
First-n3-4-20191108-15:09:35-10140,4,Pizza.EntryQueueU1,queueLength:mean,3.3603473021557
First-n3-5-20191108-15:09:41-1864,5,Pizza.EntryQueueU1,queueLength:mean,3.2691591706811
First-n3-6-20191108-15:09:47-7676,6,Pizza.EntryQueueU1,queueLength:mean,2.9930994575045
First-n3-7-20191108-15:09:53-4380,7,Pizza.EntryQueueU1,queueLength:mean,3.394705638652
First-n3-8-20191108-15:10:04-10720,8,Pizza.EntryQueueU1,queueLength:mean,3.2414122818284
First-n3-9-20191108-15:10:11-1224,9,Pizza.EntryQueueU1,queueLength:mean,3.0171225546852
