run,repetition,Module,Name,
First-n3-0-20191108-15:09:09-8436,0,Pizza.sink,lifeTimeU2:max,12200.935967812
First-n3-10-20191108-15:10:19-10936,10,Pizza.sink,lifeTimeU2:max,13441.468583258
First-n3-11-20191108-15:10:29-3052,11,Pizza.sink,lifeTimeU2:max,9874.4375487579
First-n3-12-20191108-15:10:35-10996,12,Pizza.sink,lifeTimeU2:max,10983.987756006
First-n3-13-20191108-15:10:47-9176,13,Pizza.sink,lifeTimeU2:max,12902.728474772
First-n3-14-20191108-15:10:58-7636,14,Pizza.sink,lifeTimeU2:max,11292.59470716
First-n3-15-20191108-15:11:11-4348,15,Pizza.sink,lifeTimeU2:max,8892.0293028166
First-n3-16-20191108-15:11:17-6732,16,Pizza.sink,lifeTimeU2:max,13555.681546365
First-n3-17-20191108-15:11:26-10244,17,Pizza.sink,lifeTimeU2:max,9047.8883491819
First-n3-18-20191108-15:11:33-8416,18,Pizza.sink,lifeTimeU2:max,11884.310941159
First-n3-19-20191108-15:11:40-3988,19,Pizza.sink,lifeTimeU2:max,12110.360291407
First-n3-1-20191108-15:09:14-4716,1,Pizza.sink,lifeTimeU2:max,9801.821066414
First-n3-2-20191108-15:09:21-188,2,Pizza.sink,lifeTimeU2:max,9464.7834956506
First-n3-3-20191108-15:09:28-3548,3,Pizza.sink,lifeTimeU2:max,9569.752622378
First-n3-4-20191108-15:09:35-10140,4,Pizza.sink,lifeTimeU2:max,13004.790361117
First-n3-5-20191108-15:09:41-1864,5,Pizza.sink,lifeTimeU2:max,13720.60893866
First-n3-6-20191108-15:09:47-7676,6,Pizza.sink,lifeTimeU2:max,7775.1477431565
First-n3-7-20191108-15:09:53-4380,7,Pizza.sink,lifeTimeU2:max,13137.760422201
First-n3-8-20191108-15:10:04-10720,8,Pizza.sink,lifeTimeU2:max,11122.992917322
First-n3-9-20191108-15:10:11-1224,9,Pizza.sink,lifeTimeU2:max,8855.1009710326
