run,repetition,Module,Name,
First-n3-0-20191108-15:09:09-8436,0,Pizza.sink,lifeTime:mean,2748.0655508438
First-n3-10-20191108-15:10:19-10936,10,Pizza.sink,lifeTime:mean,2483.465841705
First-n3-11-20191108-15:10:29-3052,11,Pizza.sink,lifeTime:mean,1936.6464779944
First-n3-12-20191108-15:10:35-10996,12,Pizza.sink,lifeTime:mean,2237.0937760812
First-n3-13-20191108-15:10:47-9176,13,Pizza.sink,lifeTime:mean,2894.8024443619
First-n3-14-20191108-15:10:58-7636,14,Pizza.sink,lifeTime:mean,2183.3405526917
First-n3-15-20191108-15:11:11-4348,15,Pizza.sink,lifeTime:mean,2100.8557036779
First-n3-16-20191108-15:11:17-6732,16,Pizza.sink,lifeTime:mean,2493.6980068467
First-n3-17-20191108-15:11:26-10244,17,Pizza.sink,lifeTime:mean,1863.4598076399
First-n3-18-20191108-15:11:33-8416,18,Pizza.sink,lifeTime:mean,2331.9229889689
First-n3-19-20191108-15:11:40-3988,19,Pizza.sink,lifeTime:mean,2810.4483569445
First-n3-1-20191108-15:09:14-4716,1,Pizza.sink,lifeTime:mean,1852.0270794797
First-n3-2-20191108-15:09:21-188,2,Pizza.sink,lifeTime:mean,2365.796228976
First-n3-3-20191108-15:09:28-3548,3,Pizza.sink,lifeTime:mean,1898.2942092788
First-n3-4-20191108-15:09:35-10140,4,Pizza.sink,lifeTime:mean,2363.5686949054
First-n3-5-20191108-15:09:41-1864,5,Pizza.sink,lifeTime:mean,2941.8964741407
First-n3-6-20191108-15:09:47-7676,6,Pizza.sink,lifeTime:mean,1600.2387729398
First-n3-7-20191108-15:09:53-4380,7,Pizza.sink,lifeTime:mean,2577.933534458
First-n3-8-20191108-15:10:04-10720,8,Pizza.sink,lifeTime:mean,2319.3116294475
First-n3-9-20191108-15:10:11-1224,9,Pizza.sink,lifeTime:mean,1661.2629856559
