run,repetition,Module,Name,
First-n3-0-20191108-15:09:09-8436,0,Pizza.sink,lifeTime:min,0.020570264998
First-n3-10-20191108-15:10:19-10936,10,Pizza.sink,lifeTime:min,0.007066599491
First-n3-11-20191108-15:10:29-3052,11,Pizza.sink,lifeTime:min,0.010700104433
First-n3-12-20191108-15:10:35-10996,12,Pizza.sink,lifeTime:min,0.011198477321
First-n3-13-20191108-15:10:47-9176,13,Pizza.sink,lifeTime:min,0.011871596578
First-n3-14-20191108-15:10:58-7636,14,Pizza.sink,lifeTime:min,0.01154722027
First-n3-15-20191108-15:11:11-4348,15,Pizza.sink,lifeTime:min,0.008090622969
First-n3-16-20191108-15:11:17-6732,16,Pizza.sink,lifeTime:min,0.003292074165
First-n3-17-20191108-15:11:26-10244,17,Pizza.sink,lifeTime:min,0.002412989908
First-n3-18-20191108-15:11:33-8416,18,Pizza.sink,lifeTime:min,0.019309904377
First-n3-19-20191108-15:11:40-3988,19,Pizza.sink,lifeTime:min,0.010735268357
First-n3-1-20191108-15:09:14-4716,1,Pizza.sink,lifeTime:min,0.005241605587
First-n3-2-20191108-15:09:21-188,2,Pizza.sink,lifeTime:min,0.016412524155
First-n3-3-20191108-15:09:28-3548,3,Pizza.sink,lifeTime:min,0.027481058918
First-n3-4-20191108-15:09:35-10140,4,Pizza.sink,lifeTime:min,0.011861977799
First-n3-5-20191108-15:09:41-1864,5,Pizza.sink,lifeTime:min,0.02240737802
First-n3-6-20191108-15:09:47-7676,6,Pizza.sink,lifeTime:min,0.015532927753
First-n3-7-20191108-15:09:53-4380,7,Pizza.sink,lifeTime:min,0.01761290737
First-n3-8-20191108-15:10:04-10720,8,Pizza.sink,lifeTime:min,0.025715019806
First-n3-9-20191108-15:10:11-1224,9,Pizza.sink,lifeTime:min,0.00376272261
