run,repetition,Module,Name,
First-n3-0-20191108-15:09:09-8436,0,Pizza.sink,lifeTimeU2:min,5454.0940779942
First-n3-10-20191108-15:10:19-10936,10,Pizza.sink,lifeTimeU2:min,3605.5268893617
First-n3-11-20191108-15:10:29-3052,11,Pizza.sink,lifeTimeU2:min,1990.6253845511
First-n3-12-20191108-15:10:35-10996,12,Pizza.sink,lifeTimeU2:min,3284.1006314277
First-n3-13-20191108-15:10:47-9176,13,Pizza.sink,lifeTimeU2:min,5113.9410551141
First-n3-14-20191108-15:10:58-7636,14,Pizza.sink,lifeTimeU2:min,3400.9245803794
First-n3-15-20191108-15:11:11-4348,15,Pizza.sink,lifeTimeU2:min,2845.3432161054
First-n3-16-20191108-15:11:17-6732,16,Pizza.sink,lifeTimeU2:min,3998.340562005
First-n3-17-20191108-15:11:26-10244,17,Pizza.sink,lifeTimeU2:min,3070.5413140871
First-n3-18-20191108-15:11:33-8416,18,Pizza.sink,lifeTimeU2:min,2967.178710037
First-n3-19-20191108-15:11:40-3988,19,Pizza.sink,lifeTimeU2:min,5435.9088011099
First-n3-1-20191108-15:09:14-4716,1,Pizza.sink,lifeTimeU2:min,1022.9959502877
First-n3-2-20191108-15:09:21-188,2,Pizza.sink,lifeTimeU2:min,4263.7474736484
First-n3-3-20191108-15:09:28-3548,3,Pizza.sink,lifeTimeU2:min,2396.8239621285
First-n3-4-20191108-15:09:35-10140,4,Pizza.sink,lifeTimeU2:min,2829.8721196124
First-n3-5-20191108-15:09:41-1864,5,Pizza.sink,lifeTimeU2:min,3498.3202071062
First-n3-6-20191108-15:09:47-7676,6,Pizza.sink,lifeTimeU2:min,3014.3057379451
First-n3-7-20191108-15:09:53-4380,7,Pizza.sink,lifeTimeU2:min,4002.8173687333
First-n3-8-20191108-15:10:04-10720,8,Pizza.sink,lifeTimeU2:min,3308.7784248194
First-n3-9-20191108-15:10:11-1224,9,Pizza.sink,lifeTimeU2:min,2869.2921273831
