run,repetition,Module,Name,
First-n5-0-20191108-15:09:10-8872,0,Pizza.sink,lifeTime:max,512.08670007207
First-n5-10-20191108-15:10:19-1448,10,Pizza.sink,lifeTime:max,696.91282590034
First-n5-11-20191108-15:10:29-2552,11,Pizza.sink,lifeTime:max,976.90164852301
First-n5-12-20191108-15:10:41-8580,12,Pizza.sink,lifeTime:max,540.88622278942
First-n5-13-20191108-15:10:55-10188,13,Pizza.sink,lifeTime:max,691.17919266894
First-n5-14-20191108-15:11:05-2144,14,Pizza.sink,lifeTime:max,646.91925139284
First-n5-15-20191108-15:11:11-3200,15,Pizza.sink,lifeTime:max,659.08018642414
First-n5-16-20191108-15:11:23-10644,16,Pizza.sink,lifeTime:max,748.28048318219
First-n5-17-20191108-15:11:30-1332,17,Pizza.sink,lifeTime:max,799.07559067388
First-n5-18-20191108-15:11:37-4380,18,Pizza.sink,lifeTime:max,648.14071141008
First-n5-19-20191108-15:11:43-5148,19,Pizza.sink,lifeTime:max,494.43634146775
First-n5-1-20191108-15:09:15-9720,1,Pizza.sink,lifeTime:max,621.81320412084
First-n5-2-20191108-15:09:21-2164,2,Pizza.sink,lifeTime:max,1243.768273667
First-n5-3-20191108-15:09:28-10212,3,Pizza.sink,lifeTime:max,639.17218245012
First-n5-4-20191108-15:09:36-6900,4,Pizza.sink,lifeTime:max,766.24915305768
First-n5-5-20191108-15:09:41-8876,5,Pizza.sink,lifeTime:max,1049.6915607735
First-n5-6-20191108-15:09:47-4500,6,Pizza.sink,lifeTime:max,676.47064732875
First-n5-7-20191108-15:09:58-812,7,Pizza.sink,lifeTime:max,1062.8455502677
First-n5-8-20191108-15:10:04-10220,8,Pizza.sink,lifeTime:max,583.11320811117
First-n5-9-20191108-15:10:11-7428,9,Pizza.sink,lifeTime:max,562.03881061888
