run,repetition,Module,Name,
First-n5-0-20191108-15:09:10-8872,0,Pizza.sink,lifeTimeU2:mean,94.112771903681
First-n5-10-20191108-15:10:19-1448,10,Pizza.sink,lifeTimeU2:mean,102.9172399432
First-n5-11-20191108-15:10:29-2552,11,Pizza.sink,lifeTimeU2:mean,159.9720694128
First-n5-12-20191108-15:10:41-8580,12,Pizza.sink,lifeTimeU2:mean,101.78775014124
First-n5-13-20191108-15:10:55-10188,13,Pizza.sink,lifeTimeU2:mean,117.4260184219
First-n5-14-20191108-15:11:05-2144,14,Pizza.sink,lifeTimeU2:mean,84.766683825531
First-n5-15-20191108-15:11:11-3200,15,Pizza.sink,lifeTimeU2:mean,110.76846971598
First-n5-16-20191108-15:11:23-10644,16,Pizza.sink,lifeTimeU2:mean,127.95322609309
First-n5-17-20191108-15:11:30-1332,17,Pizza.sink,lifeTimeU2:mean,121.51414247273
First-n5-18-20191108-15:11:37-4380,18,Pizza.sink,lifeTimeU2:mean,93.215921281058
First-n5-19-20191108-15:11:43-5148,19,Pizza.sink,lifeTimeU2:mean,82.088046259146
First-n5-1-20191108-15:09:15-9720,1,Pizza.sink,lifeTimeU2:mean,98.229577037449
First-n5-2-20191108-15:09:21-2164,2,Pizza.sink,lifeTimeU2:mean,152.99222075405
First-n5-3-20191108-15:09:28-10212,3,Pizza.sink,lifeTimeU2:mean,111.25389090453
First-n5-4-20191108-15:09:36-6900,4,Pizza.sink,lifeTimeU2:mean,82.380444044715
First-n5-5-20191108-15:09:41-8876,5,Pizza.sink,lifeTimeU2:mean,124.01240644046
First-n5-6-20191108-15:09:47-4500,6,Pizza.sink,lifeTimeU2:mean,100.37516600085
First-n5-7-20191108-15:09:58-812,7,Pizza.sink,lifeTimeU2:mean,110.82836681438
First-n5-8-20191108-15:10:04-10220,8,Pizza.sink,lifeTimeU2:mean,93.742424076427
First-n5-9-20191108-15:10:11-7428,9,Pizza.sink,lifeTimeU2:mean,93.573232783281
