run,repetition,Module,Name,
Second-n2-0-20191108-15:09:13-9276,0,Pizza.EntryQueueU2,queueLength:mean,12.617150890347
Second-n2-10-20191108-15:10:18-2008,10,Pizza.EntryQueueU2,queueLength:mean,8.0543184348656
Second-n2-11-20191108-15:10:24-9432,11,Pizza.EntryQueueU2,queueLength:mean,10.84883675001
Second-n2-12-20191108-15:10:29-3068,12,Pizza.EntryQueueU2,queueLength:mean,11.950313217385
Second-n2-13-20191108-15:10:35-2128,13,Pizza.EntryQueueU2,queueLength:mean,10.146577085155
Second-n2-14-20191108-15:10:41-10788,14,Pizza.EntryQueueU2,queueLength:mean,10.543965724353
Second-n2-15-20191108-15:10:48-6176,15,Pizza.EntryQueueU2,queueLength:mean,9.2063122794773
Second-n2-16-20191108-15:10:57-7524,16,Pizza.EntryQueueU2,queueLength:mean,9.0686496133254
Second-n2-17-20191108-15:11:04-7580,17,Pizza.EntryQueueU2,queueLength:mean,9.7134813513298
Second-n2-18-20191108-15:11:11-1592,18,Pizza.EntryQueueU2,queueLength:mean,9.6185328185328
Second-n2-19-20191108-15:11:18-2112,19,Pizza.EntryQueueU2,queueLength:mean,8.6291358817861
Second-n2-1-20191108-15:09:19-11016,1,Pizza.EntryQueueU2,queueLength:mean,8.1948689078334
Second-n2-2-20191108-15:09:24-2060,2,Pizza.EntryQueueU2,queueLength:mean,9.7162307845877
Second-n2-3-20191108-15:09:32-3568,3,Pizza.EntryQueueU2,queueLength:mean,9.542364843503
Second-n2-4-20191108-15:09:39-9168,4,Pizza.EntryQueueU2,queueLength:mean,13.229884178739
Second-n2-5-20191108-15:09:47-8888,5,Pizza.EntryQueueU2,queueLength:mean,11.669483531169
Second-n2-6-20191108-15:09:53-5664,6,Pizza.EntryQueueU2,queueLength:mean,8.1601560960227
Second-n2-7-20191108-15:09:58-11388,7,Pizza.EntryQueueU2,queueLength:mean,9.6515691729029
Second-n2-8-20191108-15:10:02-11532,8,Pizza.EntryQueueU2,queueLength:mean,7.6908396946565
Second-n2-9-20191108-15:10:12-4452,9,Pizza.EntryQueueU2,queueLength:mean,10.214523170585
