run,repetition,Module,Name,
Second-n3-0-20191108-15:09:17-9220,0,Pizza.sink,lifeTimeU2:mean,14.67112759901
Second-n3-10-20191108-15:10:18-6160,10,Pizza.sink,lifeTimeU2:mean,17.460718849113
Second-n3-11-20191108-15:10:24-11396,11,Pizza.sink,lifeTimeU2:mean,15.055856643572
Second-n3-12-20191108-15:10:29-1940,12,Pizza.sink,lifeTimeU2:mean,16.759313413706
Second-n3-13-20191108-15:10:35-2504,13,Pizza.sink,lifeTimeU2:mean,18.158758597675
Second-n3-14-20191108-15:10:41-10884,14,Pizza.sink,lifeTimeU2:mean,16.822755426376
Second-n3-15-20191108-15:10:47-5348,15,Pizza.sink,lifeTimeU2:mean,18.293433486964
Second-n3-16-20191108-15:10:58-9776,16,Pizza.sink,lifeTimeU2:mean,16.017823008146
Second-n3-17-20191108-15:11:05-1040,17,Pizza.sink,lifeTimeU2:mean,14.338777241632
Second-n3-18-20191108-15:11:11-9540,18,Pizza.sink,lifeTimeU2:mean,16.454270473122
Second-n3-19-20191108-15:11:17-7796,19,Pizza.sink,lifeTimeU2:mean,17.728438721591
Second-n3-1-20191108-15:09:24-5876,1,Pizza.sink,lifeTimeU2:mean,15.792124912656
Second-n3-2-20191108-15:09:28-7472,2,Pizza.sink,lifeTimeU2:mean,17.901711518665
Second-n3-3-20191108-15:09:32-6056,3,Pizza.sink,lifeTimeU2:mean,17.910868069715
Second-n3-4-20191108-15:09:39-10192,4,Pizza.sink,lifeTimeU2:mean,18.580275444275
Second-n3-5-20191108-15:09:47-8500,5,Pizza.sink,lifeTimeU2:mean,16.688050491048
Second-n3-6-20191108-15:09:53-2056,6,Pizza.sink,lifeTimeU2:mean,17.272437877595
Second-n3-7-20191108-15:09:58-9228,7,Pizza.sink,lifeTimeU2:mean,19.489185034042
Second-n3-8-20191108-15:10:04-680,8,Pizza.sink,lifeTimeU2:mean,16.162016275842
Second-n3-9-20191108-15:10:11-2956,9,Pizza.sink,lifeTimeU2:mean,21.668276528354
