run,repetition,Module,Name,
Second-n5-0-20191108-15:09:35-3448,0,Pizza.sink,lifeTime:mean,4.9163192043361
Second-n5-10-20191108-15:10:35-7388,10,Pizza.sink,lifeTime:mean,5.3230348886052
Second-n5-11-20191108-15:10:41-11144,11,Pizza.sink,lifeTime:mean,5.6351405417324
Second-n5-12-20191108-15:10:48-3548,12,Pizza.sink,lifeTime:mean,4.7666892618454
Second-n5-13-20191108-15:10:57-10028,13,Pizza.sink,lifeTime:mean,5.244973568413
Second-n5-14-20191108-15:11:04-8840,14,Pizza.sink,lifeTime:mean,5.0516230780589
Second-n5-15-20191108-15:11:11-1428,15,Pizza.sink,lifeTime:mean,4.8603129716997
Second-n5-16-20191108-15:11:17-8640,16,Pizza.sink,lifeTime:mean,4.7383942424018
Second-n5-17-20191108-15:11:23-6996,17,Pizza.sink,lifeTime:mean,4.9654011111814
Second-n5-18-20191108-15:11:27-4632,18,Pizza.sink,lifeTime:mean,5.1115194050235
Second-n5-19-20191108-15:11:33-8376,19,Pizza.sink,lifeTime:mean,5.2390875848407
Second-n5-1-20191108-15:09:41-8624,1,Pizza.sink,lifeTime:mean,5.0195470194178
Second-n5-2-20191108-15:09:46-5248,2,Pizza.sink,lifeTime:mean,5.1266678341481
Second-n5-3-20191108-15:09:53-8116,3,Pizza.sink,lifeTime:mean,5.0606164398589
Second-n5-4-20191108-15:09:58-2912,4,Pizza.sink,lifeTime:mean,5.0689391856335
Second-n5-5-20191108-15:10:03-9644,5,Pizza.sink,lifeTime:mean,5.1640790168722
Second-n5-6-20191108-15:10:11-1892,6,Pizza.sink,lifeTime:mean,4.6958731668771
Second-n5-7-20191108-15:10:19-2520,7,Pizza.sink,lifeTime:mean,4.8278720456851
Second-n5-8-20191108-15:10:24-5136,8,Pizza.sink,lifeTime:mean,5.0379006050079
Second-n5-9-20191108-15:10:29-2604,9,Pizza.sink,lifeTime:mean,5.4137478090076
