run,repetition,Module,Name,
Second-n5-0-20191108-15:09:35-3448,0,Pizza.sink,lifeTimeU1:min,0.000230392516
Second-n5-10-20191108-15:10:35-7388,10,Pizza.sink,lifeTimeU1:min,0.000333814445
Second-n5-11-20191108-15:10:41-11144,11,Pizza.sink,lifeTimeU1:min,1.5037307e-05
Second-n5-12-20191108-15:10:48-3548,12,Pizza.sink,lifeTimeU1:min,0.00019072213
Second-n5-13-20191108-15:10:57-10028,13,Pizza.sink,lifeTimeU1:min,0.000134829336
Second-n5-14-20191108-15:11:04-8840,14,Pizza.sink,lifeTimeU1:min,0.000423376726
Second-n5-15-20191108-15:11:11-1428,15,Pizza.sink,lifeTimeU1:min,7.3560365e-05
Second-n5-16-20191108-15:11:17-8640,16,Pizza.sink,lifeTimeU1:min,1.392832e-05
Second-n5-17-20191108-15:11:23-6996,17,Pizza.sink,lifeTimeU1:min,6.3560551e-05
Second-n5-18-20191108-15:11:27-4632,18,Pizza.sink,lifeTimeU1:min,0.000323486391
Second-n5-19-20191108-15:11:33-8376,19,Pizza.sink,lifeTimeU1:min,1.6057166e-05
Second-n5-1-20191108-15:09:41-8624,1,Pizza.sink,lifeTimeU1:min,0.000217540418
Second-n5-2-20191108-15:09:46-5248,2,Pizza.sink,lifeTimeU1:min,0.000283323857
Second-n5-3-20191108-15:09:53-8116,3,Pizza.sink,lifeTimeU1:min,7.4015254e-05
Second-n5-4-20191108-15:09:58-2912,4,Pizza.sink,lifeTimeU1:min,0.000157321667
Second-n5-5-20191108-15:10:03-9644,5,Pizza.sink,lifeTimeU1:min,1.6691825e-05
Second-n5-6-20191108-15:10:11-1892,6,Pizza.sink,lifeTimeU1:min,0.000176957047
Second-n5-7-20191108-15:10:19-2520,7,Pizza.sink,lifeTimeU1:min,5.8208759e-05
Second-n5-8-20191108-15:10:24-5136,8,Pizza.sink,lifeTimeU1:min,8.0788145e-05
Second-n5-9-20191108-15:10:29-2604,9,Pizza.sink,lifeTimeU1:min,0.000402401337
