run,repetition,Module,Name,
Third-n3-0-20191108-15:11:23-124,0,Pizza.EntryQueueU1,queueLength:mean,2.1661729520337
Third-n3-10-20191108-15:11:53-8640,10,Pizza.EntryQueueU1,queueLength:mean,2.2760678925035
Third-n3-11-20191108-15:11:55-3900,11,Pizza.EntryQueueU1,queueLength:mean,2.2070973820196
Third-n3-12-20191108-15:11:57-7812,12,Pizza.EntryQueueU1,queueLength:mean,2.1611617638626
Third-n3-13-20191108-15:11:59-568,13,Pizza.EntryQueueU1,queueLength:mean,2.1232611174458
Third-n3-14-20191108-15:12:00-8220,14,Pizza.EntryQueueU1,queueLength:mean,2.235149871621
Third-n3-15-20191108-15:12:02-3568,15,Pizza.EntryQueueU1,queueLength:mean,2.1090257092455
Third-n3-16-20191108-15:12:04-4388,16,Pizza.EntryQueueU1,queueLength:mean,2.322411014673
Third-n3-17-20191108-15:12:05-8324,17,Pizza.EntryQueueU1,queueLength:mean,2.1183885602711
Third-n3-18-20191108-15:12:07-2856,18,Pizza.EntryQueueU1,queueLength:mean,2.0744239631336
Third-n3-19-20191108-15:12:09-2376,19,Pizza.EntryQueueU1,queueLength:mean,2.1206012584479
Third-n3-1-20191108-15:11:27-1940,1,Pizza.EntryQueueU1,queueLength:mean,2.346532387274
Third-n3-2-20191108-15:11:30-4424,2,Pizza.EntryQueueU1,queueLength:mean,2.1457129783218
Third-n3-3-20191108-15:11:33-9036,3,Pizza.EntryQueueU1,queueLength:mean,2.2821918594638
Third-n3-4-20191108-15:11:37-10376,4,Pizza.EntryQueueU1,queueLength:mean,2.2068529741218
Third-n3-5-20191108-15:11:40-4484,5,Pizza.EntryQueueU1,queueLength:mean,2.1256110037513
Third-n3-6-20191108-15:11:44-11044,6,Pizza.EntryQueueU1,queueLength:mean,2.0984608355464
Third-n3-7-20191108-15:11:47-7608,7,Pizza.EntryQueueU1,queueLength:mean,2.2948547881798
Third-n3-8-20191108-15:11:49-3548,8,Pizza.EntryQueueU1,queueLength:mean,2.2098200234628
Third-n3-9-20191108-15:11:51-9864,9,Pizza.EntryQueueU1,queueLength:mean,2.1436511574605
