run,repetition,Module,Name,
Third-n4-0-20191108-15:12:02-9632,0,Pizza.sink,lifeTimeU2:max,23584.68155632
Third-n4-10-20191108-15:12:20-6480,10,Pizza.sink,lifeTimeU2:max,23077.573268848
Third-n4-11-20191108-15:12:22-860,11,Pizza.sink,lifeTimeU2:max,22620.119758255
Third-n4-12-20191108-15:12:23-992,12,Pizza.sink,lifeTimeU2:max,21463.607514193
Third-n4-13-20191108-15:12:25-2300,13,Pizza.sink,lifeTimeU2:max,20962.197407559
Third-n4-14-20191108-15:12:27-1088,14,Pizza.sink,lifeTimeU2:max,24681.796517664
Third-n4-15-20191108-15:12:29-11852,15,Pizza.sink,lifeTimeU2:max,22354.138794193
Third-n4-16-20191108-15:12:31-4672,16,Pizza.sink,lifeTimeU2:max,21719.342584466
Third-n4-17-20191108-15:12:33-7796,17,Pizza.sink,lifeTimeU2:max,21366.241854056
Third-n4-18-20191108-15:12:34-1696,18,Pizza.sink,lifeTimeU2:max,21215.849527385
Third-n4-19-20191108-15:12:36-1324,19,Pizza.sink,lifeTimeU2:max,22194.828892278
Third-n4-1-20191108-15:12:04-3788,1,Pizza.sink,lifeTimeU2:max,22381.353296634
Third-n4-2-20191108-15:12:06-5824,2,Pizza.sink,lifeTimeU2:max,21669.683628799
Third-n4-3-20191108-15:12:08-7624,3,Pizza.sink,lifeTimeU2:max,22437.553973066
Third-n4-4-20191108-15:12:09-11272,4,Pizza.sink,lifeTimeU2:max,22193.548936132
Third-n4-5-20191108-15:12:11-9876,5,Pizza.sink,lifeTimeU2:max,19911.768651053
Third-n4-6-20191108-15:12:13-4380,6,Pizza.sink,lifeTimeU2:max,20103.497528415
Third-n4-7-20191108-15:12:15-10244,7,Pizza.sink,lifeTimeU2:max,20776.364503622
Third-n4-8-20191108-15:12:16-6864,8,Pizza.sink,lifeTimeU2:max,22804.299597534
Third-n4-9-20191108-15:12:18-736,9,Pizza.sink,lifeTimeU2:max,22679.052582483
