run,repetition,Module,Name,
Third-n4-0-20191108-15:12:02-9632,0,Pizza.sink,lifeTimeU2:mean,15375.14547739
Third-n4-10-20191108-15:12:20-6480,10,Pizza.sink,lifeTimeU2:mean,15066.187047756
Third-n4-11-20191108-15:12:22-860,11,Pizza.sink,lifeTimeU2:mean,14184.043921066
Third-n4-12-20191108-15:12:23-992,12,Pizza.sink,lifeTimeU2:mean,14022.207788757
Third-n4-13-20191108-15:12:25-2300,13,Pizza.sink,lifeTimeU2:mean,13122.43482311
Third-n4-14-20191108-15:12:27-1088,14,Pizza.sink,lifeTimeU2:mean,16249.102159648
Third-n4-15-20191108-15:12:29-11852,15,Pizza.sink,lifeTimeU2:mean,14440.904883452
Third-n4-16-20191108-15:12:31-4672,16,Pizza.sink,lifeTimeU2:mean,14218.043316717
Third-n4-17-20191108-15:12:33-7796,17,Pizza.sink,lifeTimeU2:mean,13385.397733748
Third-n4-18-20191108-15:12:34-1696,18,Pizza.sink,lifeTimeU2:mean,13390.974616944
Third-n4-19-20191108-15:12:36-1324,19,Pizza.sink,lifeTimeU2:mean,14094.694934179
Third-n4-1-20191108-15:12:04-3788,1,Pizza.sink,lifeTimeU2:mean,14241.244509639
Third-n4-2-20191108-15:12:06-5824,2,Pizza.sink,lifeTimeU2:mean,14135.471529721
Third-n4-3-20191108-15:12:08-7624,3,Pizza.sink,lifeTimeU2:mean,15014.005071762
Third-n4-4-20191108-15:12:09-11272,4,Pizza.sink,lifeTimeU2:mean,13817.524010446
Third-n4-5-20191108-15:12:11-9876,5,Pizza.sink,lifeTimeU2:mean,13256.179070631
Third-n4-6-20191108-15:12:13-4380,6,Pizza.sink,lifeTimeU2:mean,12826.553693998
Third-n4-7-20191108-15:12:15-10244,7,Pizza.sink,lifeTimeU2:mean,13486.764673412
Third-n4-8-20191108-15:12:16-6864,8,Pizza.sink,lifeTimeU2:mean,15098.790060266
Third-n4-9-20191108-15:12:18-736,9,Pizza.sink,lifeTimeU2:mean,13773.336355506
