run,repetition,Module,Name,
Third-n4-0-20191108-15:12:02-9632,0,Pizza.sink,lifeTimeU2:min,7683.1717480717
Third-n4-10-20191108-15:12:20-6480,10,Pizza.sink,lifeTimeU2:min,6118.2261748183
Third-n4-11-20191108-15:12:22-860,11,Pizza.sink,lifeTimeU2:min,6036.0101175787
Third-n4-12-20191108-15:12:23-992,12,Pizza.sink,lifeTimeU2:min,6568.1864207694
Third-n4-13-20191108-15:12:25-2300,13,Pizza.sink,lifeTimeU2:min,6330.4160627217
Third-n4-14-20191108-15:12:27-1088,14,Pizza.sink,lifeTimeU2:min,6972.7105251043
Third-n4-15-20191108-15:12:29-11852,15,Pizza.sink,lifeTimeU2:min,6004.4124314904
Third-n4-16-20191108-15:12:31-4672,16,Pizza.sink,lifeTimeU2:min,7018.6586599379
Third-n4-17-20191108-15:12:33-7796,17,Pizza.sink,lifeTimeU2:min,6324.5063942652
Third-n4-18-20191108-15:12:34-1696,18,Pizza.sink,lifeTimeU2:min,5982.1566401911
Third-n4-19-20191108-15:12:36-1324,19,Pizza.sink,lifeTimeU2:min,6220.9519484119
Third-n4-1-20191108-15:12:04-3788,1,Pizza.sink,lifeTimeU2:min,6085.6751353087
Third-n4-2-20191108-15:12:06-5824,2,Pizza.sink,lifeTimeU2:min,6124.0889481325
Third-n4-3-20191108-15:12:08-7624,3,Pizza.sink,lifeTimeU2:min,7065.4605157647
Third-n4-4-20191108-15:12:09-11272,4,Pizza.sink,lifeTimeU2:min,6380.1485407866
Third-n4-5-20191108-15:12:11-9876,5,Pizza.sink,lifeTimeU2:min,6140.2830587931
Third-n4-6-20191108-15:12:13-4380,6,Pizza.sink,lifeTimeU2:min,5354.8740392518
Third-n4-7-20191108-15:12:15-10244,7,Pizza.sink,lifeTimeU2:min,6690.7669854926
Third-n4-8-20191108-15:12:16-6864,8,Pizza.sink,lifeTimeU2:min,8212.9557267801
Third-n4-9-20191108-15:12:18-736,9,Pizza.sink,lifeTimeU2:min,6163.7801825156
