run,repetition,Module,Name,
Third-n5-0-20191108-15:12:11-3484,0,Pizza.sink,lifeTime:mean,5022.1992510497
Third-n5-10-20191108-15:12:29-3388,10,Pizza.sink,lifeTime:mean,4143.0791805554
Third-n5-11-20191108-15:12:31-9600,11,Pizza.sink,lifeTime:mean,4199.6147088161
Third-n5-12-20191108-15:12:32-5500,12,Pizza.sink,lifeTime:mean,3543.2603579361
Third-n5-13-20191108-15:12:34-9120,13,Pizza.sink,lifeTime:mean,4356.8855485699
Third-n5-14-20191108-15:12:36-7564,14,Pizza.sink,lifeTime:mean,4532.5834921445
Third-n5-15-20191108-15:12:38-10140,15,Pizza.sink,lifeTime:mean,4731.1906924975
Third-n5-16-20191108-15:12:39-9044,16,Pizza.sink,lifeTime:mean,4540.1763806921
Third-n5-17-20191108-15:12:40-6860,17,Pizza.sink,lifeTime:mean,4741.5057389993
Third-n5-18-20191108-15:12:42-2992,18,Pizza.sink,lifeTime:mean,4293.7959853204
Third-n5-19-20191108-15:12:43-10768,19,Pizza.sink,lifeTime:mean,4327.3713878954
Third-n5-1-20191108-15:12:13-9392,1,Pizza.sink,lifeTime:mean,4470.0766790186
Third-n5-2-20191108-15:12:15-5368,2,Pizza.sink,lifeTime:mean,4180.3951519129
Third-n5-3-20191108-15:12:16-1996,3,Pizza.sink,lifeTime:mean,4057.2878212743
Third-n5-4-20191108-15:12:18-11148,4,Pizza.sink,lifeTime:mean,4664.753111576
Third-n5-5-20191108-15:12:20-11664,5,Pizza.sink,lifeTime:mean,4585.1054705782
Third-n5-6-20191108-15:12:22-228,6,Pizza.sink,lifeTime:mean,5055.2365978498
Third-n5-7-20191108-15:12:23-804,7,Pizza.sink,lifeTime:mean,4432.5198609012
Third-n5-8-20191108-15:12:25-1068,8,Pizza.sink,lifeTime:mean,3824.3579092411
Third-n5-9-20191108-15:12:27-11096,9,Pizza.sink,lifeTime:mean,4269.2243407181
