run,repetition,Module,Name,
Third-n5-0-20191108-15:12:11-3484,0,Pizza.sink,lifeTime:min,0.012042865004
Third-n5-10-20191108-15:12:29-3388,10,Pizza.sink,lifeTime:min,0.037108002589
Third-n5-11-20191108-15:12:31-9600,11,Pizza.sink,lifeTime:min,0.011660915953
Third-n5-12-20191108-15:12:32-5500,12,Pizza.sink,lifeTime:min,0.012883966236
Third-n5-13-20191108-15:12:34-9120,13,Pizza.sink,lifeTime:min,0.054455941907
Third-n5-14-20191108-15:12:36-7564,14,Pizza.sink,lifeTime:min,0.02881527818
Third-n5-15-20191108-15:12:38-10140,15,Pizza.sink,lifeTime:min,0.036666812424
Third-n5-16-20191108-15:12:39-9044,16,Pizza.sink,lifeTime:min,0.060808574805
Third-n5-17-20191108-15:12:40-6860,17,Pizza.sink,lifeTime:min,0.063322008896
Third-n5-18-20191108-15:12:42-2992,18,Pizza.sink,lifeTime:min,0.001763893014
Third-n5-19-20191108-15:12:43-10768,19,Pizza.sink,lifeTime:min,0.033172195162
Third-n5-1-20191108-15:12:13-9392,1,Pizza.sink,lifeTime:min,0.074606009658
Third-n5-2-20191108-15:12:15-5368,2,Pizza.sink,lifeTime:min,0.047049570277
Third-n5-3-20191108-15:12:16-1996,3,Pizza.sink,lifeTime:min,0.039678857264
Third-n5-4-20191108-15:12:18-11148,4,Pizza.sink,lifeTime:min,0.063278769324
Third-n5-5-20191108-15:12:20-11664,5,Pizza.sink,lifeTime:min,0.065884877916
Third-n5-6-20191108-15:12:22-228,6,Pizza.sink,lifeTime:min,0.010200776242
Third-n5-7-20191108-15:12:23-804,7,Pizza.sink,lifeTime:min,0.07557622037
Third-n5-8-20191108-15:12:25-1068,8,Pizza.sink,lifeTime:min,0.030562021912
Third-n5-9-20191108-15:12:27-11096,9,Pizza.sink,lifeTime:min,0.048595872795
