run,repetition,Module,Name,
First-n3-0-20191108-15:09:09-8436,0,Pizza.EntryQueueU2,queueLength:mean,2182.3744664222
First-n3-10-20191108-15:10:19-10936,10,Pizza.EntryQueueU2,queueLength:mean,2080.5016531962
First-n3-11-20191108-15:10:29-3052,11,Pizza.EntryQueueU2,queueLength:mean,1561.8639213276
First-n3-12-20191108-15:10:35-10996,12,Pizza.EntryQueueU2,queueLength:mean,1806.9158973744
First-n3-13-20191108-15:10:47-9176,13,Pizza.EntryQueueU2,queueLength:mean,2342.6448640621
First-n3-14-20191108-15:10:58-7636,14,Pizza.EntryQueueU2,queueLength:mean,1780.4522359857
First-n3-15-20191108-15:11:11-4348,15,Pizza.EntryQueueU2,queueLength:mean,1657.4224173861
First-n3-16-20191108-15:11:17-6732,16,Pizza.EntryQueueU2,queueLength:mean,2067.8709460492
First-n3-17-20191108-15:11:26-10244,17,Pizza.EntryQueueU2,queueLength:mean,1471.3635873472
First-n3-18-20191108-15:11:33-8416,18,Pizza.EntryQueueU2,queueLength:mean,1921.1725854018
First-n3-19-20191108-15:11:40-3988,19,Pizza.EntryQueueU2,queueLength:mean,2217.6133181764
First-n3-1-20191108-15:09:14-4716,1,Pizza.EntryQueueU2,queueLength:mean,1499.6247913315
First-n3-2-20191108-15:09:21-188,2,Pizza.EntryQueueU2,queueLength:mean,1849.2767854471
First-n3-3-20191108-15:09:28-3548,3,Pizza.EntryQueueU2,queueLength:mean,1525.2709155076
First-n3-4-20191108-15:09:35-10140,4,Pizza.EntryQueueU2,queueLength:mean,1965.628404966
First-n3-5-20191108-15:09:41-1864,5,Pizza.EntryQueueU2,queueLength:mean,2459.8004694836
First-n3-6-20191108-15:09:47-7676,6,Pizza.EntryQueueU2,queueLength:mean,1246.9212692319
First-n3-7-20191108-15:09:53-4380,7,Pizza.EntryQueueU2,queueLength:mean,2100.1171648841
First-n3-8-20191108-15:10:04-10720,8,Pizza.EntryQueueU2,queueLength:mean,1871.4739511434
First-n3-9-20191108-15:10:11-1224,9,Pizza.EntryQueueU2,queueLength:mean,1315.8163167367
