run,repetition,Module,Name,
First-n3-0-20191108-15:09:09-8436,0,Pizza.sink,lifeTimeU1:max,55.343079305727
First-n3-10-20191108-15:10:19-10936,10,Pizza.sink,lifeTimeU1:max,56.782320231621
First-n3-11-20191108-15:10:29-3052,11,Pizza.sink,lifeTimeU1:max,57.980439190817
First-n3-12-20191108-15:10:35-10996,12,Pizza.sink,lifeTimeU1:max,60.705770989231
First-n3-13-20191108-15:10:47-9176,13,Pizza.sink,lifeTimeU1:max,51.249159630499
First-n3-14-20191108-15:10:58-7636,14,Pizza.sink,lifeTimeU1:max,49.349884723296
First-n3-15-20191108-15:11:11-4348,15,Pizza.sink,lifeTimeU1:max,44.750686470808
First-n3-16-20191108-15:11:17-6732,16,Pizza.sink,lifeTimeU1:max,57.480087822248
First-n3-17-20191108-15:11:26-10244,17,Pizza.sink,lifeTimeU1:max,53.452382650625
First-n3-18-20191108-15:11:33-8416,18,Pizza.sink,lifeTimeU1:max,55.753610874377
First-n3-19-20191108-15:11:40-3988,19,Pizza.sink,lifeTimeU1:max,51.289482067019
First-n3-1-20191108-15:09:14-4716,1,Pizza.sink,lifeTimeU1:max,66.370844043405
First-n3-2-20191108-15:09:21-188,2,Pizza.sink,lifeTimeU1:max,40.053363482294
First-n3-3-20191108-15:09:28-3548,3,Pizza.sink,lifeTimeU1:max,61.702995866982
First-n3-4-20191108-15:09:35-10140,4,Pizza.sink,lifeTimeU1:max,55.021505631013
First-n3-5-20191108-15:09:41-1864,5,Pizza.sink,lifeTimeU1:max,49.144012097386
First-n3-6-20191108-15:09:47-7676,6,Pizza.sink,lifeTimeU1:max,75.258111156019
First-n3-7-20191108-15:09:53-4380,7,Pizza.sink,lifeTimeU1:max,50.648726062986
First-n3-8-20191108-15:10:04-10720,8,Pizza.sink,lifeTimeU1:max,60.471837993516
First-n3-9-20191108-15:10:11-1224,9,Pizza.sink,lifeTimeU1:max,39.208483047204
