run,repetition,Module,Name,
First-n5-0-20191108-15:09:10-8872,0,Pizza.sink,lifeTimeU1:mean,5.1030831001268
First-n5-10-20191108-15:10:19-1448,10,Pizza.sink,lifeTimeU1:mean,5.3648616659821
First-n5-11-20191108-15:10:29-2552,11,Pizza.sink,lifeTimeU1:mean,5.2163607229285
First-n5-12-20191108-15:10:41-8580,12,Pizza.sink,lifeTimeU1:mean,5.5429766555927
First-n5-13-20191108-15:10:55-10188,13,Pizza.sink,lifeTimeU1:mean,5.63492416649
First-n5-14-20191108-15:11:05-2144,14,Pizza.sink,lifeTimeU1:mean,5.1281207872213
First-n5-15-20191108-15:11:11-3200,15,Pizza.sink,lifeTimeU1:mean,5.2169077270586
First-n5-16-20191108-15:11:23-10644,16,Pizza.sink,lifeTimeU1:mean,5.7351176192813
First-n5-17-20191108-15:11:30-1332,17,Pizza.sink,lifeTimeU1:mean,5.5974433486423
First-n5-18-20191108-15:11:37-4380,18,Pizza.sink,lifeTimeU1:mean,5.2552052675852
First-n5-19-20191108-15:11:43-5148,19,Pizza.sink,lifeTimeU1:mean,5.2510961646826
First-n5-1-20191108-15:09:15-9720,1,Pizza.sink,lifeTimeU1:mean,5.1991454977238
First-n5-2-20191108-15:09:21-2164,2,Pizza.sink,lifeTimeU1:mean,5.5026312025357
First-n5-3-20191108-15:09:28-10212,3,Pizza.sink,lifeTimeU1:mean,5.3975476978509
First-n5-4-20191108-15:09:36-6900,4,Pizza.sink,lifeTimeU1:mean,5.2290688666922
First-n5-5-20191108-15:09:41-8876,5,Pizza.sink,lifeTimeU1:mean,5.5106637180726
First-n5-6-20191108-15:09:47-4500,6,Pizza.sink,lifeTimeU1:mean,5.5014989960971
First-n5-7-20191108-15:09:58-812,7,Pizza.sink,lifeTimeU1:mean,5.5530477434977
First-n5-8-20191108-15:10:04-10220,8,Pizza.sink,lifeTimeU1:mean,5.3304648762487
First-n5-9-20191108-15:10:11-7428,9,Pizza.sink,lifeTimeU1:mean,5.0607582048927
