run,repetition,Module,Name,
First-n5-0-20191108-15:09:10-8872,0,Pizza.sink,lifeTimeU1:min,5.5974817e-05
First-n5-10-20191108-15:10:19-1448,10,Pizza.sink,lifeTimeU1:min,0.000370409024
First-n5-11-20191108-15:10:29-2552,11,Pizza.sink,lifeTimeU1:min,0.001335295191
First-n5-12-20191108-15:10:41-8580,12,Pizza.sink,lifeTimeU1:min,7.9906438e-05
First-n5-13-20191108-15:10:55-10188,13,Pizza.sink,lifeTimeU1:min,0.000143872472
First-n5-14-20191108-15:11:05-2144,14,Pizza.sink,lifeTimeU1:min,2.4644106e-05
First-n5-15-20191108-15:11:11-3200,15,Pizza.sink,lifeTimeU1:min,8.4918e-07
First-n5-16-20191108-15:11:23-10644,16,Pizza.sink,lifeTimeU1:min,0.000697460917
First-n5-17-20191108-15:11:30-1332,17,Pizza.sink,lifeTimeU1:min,0.000199219987
First-n5-18-20191108-15:11:37-4380,18,Pizza.sink,lifeTimeU1:min,0.000328604369
First-n5-19-20191108-15:11:43-5148,19,Pizza.sink,lifeTimeU1:min,8.868475e-06
First-n5-1-20191108-15:09:15-9720,1,Pizza.sink,lifeTimeU1:min,2.247108e-05
First-n5-2-20191108-15:09:21-2164,2,Pizza.sink,lifeTimeU1:min,1.5488417e-05
First-n5-3-20191108-15:09:28-10212,3,Pizza.sink,lifeTimeU1:min,2.0040264e-05
First-n5-4-20191108-15:09:36-6900,4,Pizza.sink,lifeTimeU1:min,0.000662481643
First-n5-5-20191108-15:09:41-8876,5,Pizza.sink,lifeTimeU1:min,6.1101565e-05
First-n5-6-20191108-15:09:47-4500,6,Pizza.sink,lifeTimeU1:min,4.9813525e-05
First-n5-7-20191108-15:09:58-812,7,Pizza.sink,lifeTimeU1:min,0.000391445508
First-n5-8-20191108-15:10:04-10220,8,Pizza.sink,lifeTimeU1:min,9.5332692e-05
First-n5-9-20191108-15:10:11-7428,9,Pizza.sink,lifeTimeU1:min,0.000121829063
