run,repetition,Module,Name,
Second-n2-0-20191108-15:09:13-9276,0,Pizza.sink,lifeTimeU2:mean,58.171994721056
Second-n2-10-20191108-15:10:18-2008,10,Pizza.sink,lifeTimeU2:mean,35.617921516573
Second-n2-11-20191108-15:10:24-9432,11,Pizza.sink,lifeTimeU2:mean,49.39909159783
Second-n2-12-20191108-15:10:29-3068,12,Pizza.sink,lifeTimeU2:mean,53.547854101646
Second-n2-13-20191108-15:10:35-2128,13,Pizza.sink,lifeTimeU2:mean,45.113955963677
Second-n2-14-20191108-15:10:41-10788,14,Pizza.sink,lifeTimeU2:mean,47.781330069744
Second-n2-15-20191108-15:10:48-6176,15,Pizza.sink,lifeTimeU2:mean,41.26960232533
Second-n2-16-20191108-15:10:57-7524,16,Pizza.sink,lifeTimeU2:mean,42.241500020276
Second-n2-17-20191108-15:11:04-7580,17,Pizza.sink,lifeTimeU2:mean,43.585874327633
Second-n2-18-20191108-15:11:11-1592,18,Pizza.sink,lifeTimeU2:mean,44.333511784581
Second-n2-19-20191108-15:11:18-2112,19,Pizza.sink,lifeTimeU2:mean,39.326022745868
Second-n2-1-20191108-15:09:19-11016,1,Pizza.sink,lifeTimeU2:mean,36.574540822366
Second-n2-2-20191108-15:09:24-2060,2,Pizza.sink,lifeTimeU2:mean,43.151477959255
Second-n2-3-20191108-15:09:32-3568,3,Pizza.sink,lifeTimeU2:mean,44.070479277428
Second-n2-4-20191108-15:09:39-9168,4,Pizza.sink,lifeTimeU2:mean,59.542180646059
Second-n2-5-20191108-15:09:47-8888,5,Pizza.sink,lifeTimeU2:mean,53.489589686372
Second-n2-6-20191108-15:09:53-5664,6,Pizza.sink,lifeTimeU2:mean,36.621816908627
Second-n2-7-20191108-15:09:58-11388,7,Pizza.sink,lifeTimeU2:mean,43.886287468851
Second-n2-8-20191108-15:10:02-11532,8,Pizza.sink,lifeTimeU2:mean,34.318212300068
Second-n2-9-20191108-15:10:12-4452,9,Pizza.sink,lifeTimeU2:mean,45.165868565757
