run,repetition,Module,Name,
Second-n3-0-20191108-15:09:17-9220,0,Pizza.sink,lifeTime:max,138.37078438811
Second-n3-10-20191108-15:10:18-6160,10,Pizza.sink,lifeTime:max,175.79624644534
Second-n3-11-20191108-15:10:24-11396,11,Pizza.sink,lifeTime:max,115.76899655163
Second-n3-12-20191108-15:10:29-1940,12,Pizza.sink,lifeTime:max,175.66189704093
Second-n3-13-20191108-15:10:35-2504,13,Pizza.sink,lifeTime:max,141.32223134552
Second-n3-14-20191108-15:10:41-10884,14,Pizza.sink,lifeTime:max,185.71054100688
Second-n3-15-20191108-15:10:47-5348,15,Pizza.sink,lifeTime:max,142.7167959255
Second-n3-16-20191108-15:10:58-9776,16,Pizza.sink,lifeTime:max,143.08072745285
Second-n3-17-20191108-15:11:05-1040,17,Pizza.sink,lifeTime:max,141.69147813576
Second-n3-18-20191108-15:11:11-9540,18,Pizza.sink,lifeTime:max,147.98801366274
Second-n3-19-20191108-15:11:17-7796,19,Pizza.sink,lifeTime:max,146.76296342922
Second-n3-1-20191108-15:09:24-5876,1,Pizza.sink,lifeTime:max,180.92780300447
Second-n3-2-20191108-15:09:28-7472,2,Pizza.sink,lifeTime:max,245.70082053365
Second-n3-3-20191108-15:09:32-6056,3,Pizza.sink,lifeTime:max,233.19245975729
Second-n3-4-20191108-15:09:39-10192,4,Pizza.sink,lifeTime:max,182.85712765754
Second-n3-5-20191108-15:09:47-8500,5,Pizza.sink,lifeTime:max,172.47056216463
Second-n3-6-20191108-15:09:53-2056,6,Pizza.sink,lifeTime:max,171.85082092696
Second-n3-7-20191108-15:09:58-9228,7,Pizza.sink,lifeTime:max,152.09250465583
Second-n3-8-20191108-15:10:04-680,8,Pizza.sink,lifeTime:max,153.17644522422
Second-n3-9-20191108-15:10:11-2956,9,Pizza.sink,lifeTime:max,200.83281372222
