run,repetition,Module,Name,
Second-n3-0-20191108-15:09:17-9220,0,Pizza.sink,lifeTime:mean,7.701060419276
Second-n3-10-20191108-15:10:18-6160,10,Pizza.sink,lifeTime:mean,8.8313560847387
Second-n3-11-20191108-15:10:24-11396,11,Pizza.sink,lifeTime:mean,7.8111630006838
Second-n3-12-20191108-15:10:29-1940,12,Pizza.sink,lifeTime:mean,8.5125441241878
Second-n3-13-20191108-15:10:35-2504,13,Pizza.sink,lifeTime:mean,9.0155185511309
Second-n3-14-20191108-15:10:41-10884,14,Pizza.sink,lifeTime:mean,8.5240829035001
Second-n3-15-20191108-15:10:47-5348,15,Pizza.sink,lifeTime:mean,9.0695621751073
Second-n3-16-20191108-15:10:58-9776,16,Pizza.sink,lifeTime:mean,8.1632727415641
Second-n3-17-20191108-15:11:05-1040,17,Pizza.sink,lifeTime:mean,7.5134400353515
Second-n3-18-20191108-15:11:11-9540,18,Pizza.sink,lifeTime:mean,8.3650814405713
Second-n3-19-20191108-15:11:17-7796,19,Pizza.sink,lifeTime:mean,8.8807572145168
Second-n3-1-20191108-15:09:24-5876,1,Pizza.sink,lifeTime:mean,8.0924565368969
Second-n3-2-20191108-15:09:28-7472,2,Pizza.sink,lifeTime:mean,8.9417114527717
Second-n3-3-20191108-15:09:32-6056,3,Pizza.sink,lifeTime:mean,8.9326122130771
Second-n3-4-20191108-15:09:39-10192,4,Pizza.sink,lifeTime:mean,9.1326797958483
Second-n3-5-20191108-15:09:47-8500,5,Pizza.sink,lifeTime:mean,8.4146653783742
Second-n3-6-20191108-15:09:53-2056,6,Pizza.sink,lifeTime:mean,8.6580771053096
Second-n3-7-20191108-15:09:58-9228,7,Pizza.sink,lifeTime:mean,9.6003662046245
Second-n3-8-20191108-15:10:04-680,8,Pizza.sink,lifeTime:mean,8.3388602191094
Second-n3-9-20191108-15:10:11-2956,9,Pizza.sink,lifeTime:mean,10.473994021554
