run,repetition,Module,Name,
Second-n5-0-20191108-15:09:35-3448,0,Pizza.EntryQueueU1,queueLength:mean,1.2454319806214
Second-n5-10-20191108-15:10:35-7388,10,Pizza.EntryQueueU1,queueLength:mean,1.24765227504
Second-n5-11-20191108-15:10:41-11144,11,Pizza.EntryQueueU1,queueLength:mean,1.3210352583764
Second-n5-12-20191108-15:10:48-3548,12,Pizza.EntryQueueU1,queueLength:mean,1.277025834167
Second-n5-13-20191108-15:10:57-10028,13,Pizza.EntryQueueU1,queueLength:mean,1.2754566511273
Second-n5-14-20191108-15:11:04-8840,14,Pizza.EntryQueueU1,queueLength:mean,1.2697510174767
Second-n5-15-20191108-15:11:11-1428,15,Pizza.EntryQueueU1,queueLength:mean,1.2816792989105
Second-n5-16-20191108-15:11:17-8640,16,Pizza.EntryQueueU1,queueLength:mean,1.2588705647176
Second-n5-17-20191108-15:11:23-6996,17,Pizza.EntryQueueU1,queueLength:mean,1.2709963789277
Second-n5-18-20191108-15:11:27-4632,18,Pizza.EntryQueueU1,queueLength:mean,1.2828244162422
Second-n5-19-20191108-15:11:33-8376,19,Pizza.EntryQueueU1,queueLength:mean,1.3136632394489
Second-n5-1-20191108-15:09:41-8624,1,Pizza.EntryQueueU1,queueLength:mean,1.2879790626316
Second-n5-2-20191108-15:09:46-5248,2,Pizza.EntryQueueU1,queueLength:mean,1.3079377048229
Second-n5-3-20191108-15:09:53-8116,3,Pizza.EntryQueueU1,queueLength:mean,1.2508585013648
Second-n5-4-20191108-15:09:58-2912,4,Pizza.EntryQueueU1,queueLength:mean,1.2707844058243
Second-n5-5-20191108-15:10:03-9644,5,Pizza.EntryQueueU1,queueLength:mean,1.3133491103515
Second-n5-6-20191108-15:10:11-1892,6,Pizza.EntryQueueU1,queueLength:mean,1.2496131412927
Second-n5-7-20191108-15:10:19-2520,7,Pizza.EntryQueueU1,queueLength:mean,1.2405697151424
Second-n5-8-20191108-15:10:24-5136,8,Pizza.EntryQueueU1,queueLength:mean,1.2607296770766
Second-n5-9-20191108-15:10:29-2604,9,Pizza.EntryQueueU1,queueLength:mean,1.3226574831396
