run,repetition,Module,Name,
Third-n2-0-20191108-15:10:02-5468,0,Pizza.sink,lifeTimeU2:mean,23361.608282007
Third-n2-10-20191108-15:11:09-4596,10,Pizza.sink,lifeTimeU2:mean,24791.930235396
Third-n2-11-20191108-15:11:18-11096,11,Pizza.sink,lifeTimeU2:mean,24866.89972203
Third-n2-12-20191108-15:11:24-7916,12,Pizza.sink,lifeTimeU2:mean,23297.560159723
Third-n2-13-20191108-15:11:27-8584,13,Pizza.sink,lifeTimeU2:mean,25152.857294484
Third-n2-14-20191108-15:11:30-7636,14,Pizza.sink,lifeTimeU2:mean,26710.996035207
Third-n2-15-20191108-15:11:33-8364,15,Pizza.sink,lifeTimeU2:mean,24631.48244414
Third-n2-16-20191108-15:11:37-4440,16,Pizza.sink,lifeTimeU2:mean,24126.526352782
Third-n2-17-20191108-15:11:40-10192,17,Pizza.sink,lifeTimeU2:mean,26030.411880721
Third-n2-18-20191108-15:11:43-2116,18,Pizza.sink,lifeTimeU2:mean,26127.51488322
Third-n2-19-20191108-15:11:45-9468,19,Pizza.sink,lifeTimeU2:mean,25410.58635561
Third-n2-1-20191108-15:10:11-7104,1,Pizza.sink,lifeTimeU2:mean,25336.736421377
Third-n2-2-20191108-15:10:17-5300,2,Pizza.sink,lifeTimeU2:mean,24041.595767648
Third-n2-3-20191108-15:10:24-11876,3,Pizza.sink,lifeTimeU2:mean,24054.509739567
Third-n2-4-20191108-15:10:29-4504,4,Pizza.sink,lifeTimeU2:mean,23586.930578436
Third-n2-5-20191108-15:10:35-7932,5,Pizza.sink,lifeTimeU2:mean,26917.908668907
Third-n2-6-20191108-15:10:41-2252,6,Pizza.sink,lifeTimeU2:mean,24825.105016478
Third-n2-7-20191108-15:10:48-2800,7,Pizza.sink,lifeTimeU2:mean,26301.854613187
Third-n2-8-20191108-15:10:55-2836,8,Pizza.sink,lifeTimeU2:mean,24642.326282438
Third-n2-9-20191108-15:11:05-4808,9,Pizza.sink,lifeTimeU2:mean,24172.244336097
