run,repetition,Module,Name,
Third-n3-0-20191108-15:11:23-124,0,Pizza.sink,lifeTime:min,0.09348691844
Third-n3-10-20191108-15:11:53-8640,10,Pizza.sink,lifeTime:min,0.036262916596
Third-n3-11-20191108-15:11:55-3900,11,Pizza.sink,lifeTime:min,0.003466194122
Third-n3-12-20191108-15:11:57-7812,12,Pizza.sink,lifeTime:min,0.010214613003
Third-n3-13-20191108-15:11:59-568,13,Pizza.sink,lifeTime:min,0.078750174848
Third-n3-14-20191108-15:12:00-8220,14,Pizza.sink,lifeTime:min,0.040789223594
Third-n3-15-20191108-15:12:02-3568,15,Pizza.sink,lifeTime:min,0.027983127005
Third-n3-16-20191108-15:12:04-4388,16,Pizza.sink,lifeTime:min,0.013248415972
Third-n3-17-20191108-15:12:05-8324,17,Pizza.sink,lifeTime:min,0.043146685333
Third-n3-18-20191108-15:12:07-2856,18,Pizza.sink,lifeTime:min,0.05462454122
Third-n3-19-20191108-15:12:09-2376,19,Pizza.sink,lifeTime:min,0.086527887984
Third-n3-1-20191108-15:11:27-1940,1,Pizza.sink,lifeTime:min,0.060814721139
Third-n3-2-20191108-15:11:30-4424,2,Pizza.sink,lifeTime:min,0.021807321824
Third-n3-3-20191108-15:11:33-9036,3,Pizza.sink,lifeTime:min,0.039604376728
Third-n3-4-20191108-15:11:37-10376,4,Pizza.sink,lifeTime:min,0.050320057279
Third-n3-5-20191108-15:11:40-4484,5,Pizza.sink,lifeTime:min,0.027834217946
Third-n3-6-20191108-15:11:44-11044,6,Pizza.sink,lifeTime:min,0.035221382818
Third-n3-7-20191108-15:11:47-7608,7,Pizza.sink,lifeTime:min,0.042147733194
Third-n3-8-20191108-15:11:49-3548,8,Pizza.sink,lifeTime:min,0.054087948859
Third-n3-9-20191108-15:11:51-9864,9,Pizza.sink,lifeTime:min,0.051377815904
