run,repetition,Module,Name,
Third-n3-0-20191108-15:11:23-124,0,Pizza.sink,lifeTimeU2:min,8380.4377832536
Third-n3-10-20191108-15:11:53-8640,10,Pizza.sink,lifeTimeU2:min,7454.0566148445
Third-n3-11-20191108-15:11:55-3900,11,Pizza.sink,lifeTimeU2:min,8272.8103669782
Third-n3-12-20191108-15:11:57-7812,12,Pizza.sink,lifeTimeU2:min,8587.8435304128
Third-n3-13-20191108-15:11:59-568,13,Pizza.sink,lifeTimeU2:min,7781.7934999779
Third-n3-14-20191108-15:12:00-8220,14,Pizza.sink,lifeTimeU2:min,7969.6403824669
Third-n3-15-20191108-15:12:02-3568,15,Pizza.sink,lifeTimeU2:min,7548.1228048718
Third-n3-16-20191108-15:12:04-4388,16,Pizza.sink,lifeTimeU2:min,9063.0620095067
Third-n3-17-20191108-15:12:05-8324,17,Pizza.sink,lifeTimeU2:min,8381.611646227
Third-n3-18-20191108-15:12:07-2856,18,Pizza.sink,lifeTimeU2:min,8506.4560841326
Third-n3-19-20191108-15:12:09-2376,19,Pizza.sink,lifeTimeU2:min,8510.082731791
Third-n3-1-20191108-15:11:27-1940,1,Pizza.sink,lifeTimeU2:min,9090.2271114394
Third-n3-2-20191108-15:11:30-4424,2,Pizza.sink,lifeTimeU2:min,5902.4793923897
Third-n3-3-20191108-15:11:33-9036,3,Pizza.sink,lifeTimeU2:min,7863.9051789744
Third-n3-4-20191108-15:11:37-10376,4,Pizza.sink,lifeTimeU2:min,8295.583251173
Third-n3-5-20191108-15:11:40-4484,5,Pizza.sink,lifeTimeU2:min,7337.733794136
Third-n3-6-20191108-15:11:44-11044,6,Pizza.sink,lifeTimeU2:min,7253.3467535985
Third-n3-7-20191108-15:11:47-7608,7,Pizza.sink,lifeTimeU2:min,8284.9552228045
Third-n3-8-20191108-15:11:49-3548,8,Pizza.sink,lifeTimeU2:min,9219.5020492739
Third-n3-9-20191108-15:11:51-9864,9,Pizza.sink,lifeTimeU2:min,8642.4970396339
