run,repetition,Module,Name,
Third-n4-0-20191108-15:12:02-9632,0,Pizza.EntryQueueU1,queueLength:mean,2.0214349337701
Third-n4-10-20191108-15:12:20-6480,10,Pizza.EntryQueueU1,queueLength:mean,2.1315759765184
Third-n4-11-20191108-15:12:22-860,11,Pizza.EntryQueueU1,queueLength:mean,2.2085495150011
Third-n4-12-20191108-15:12:23-992,12,Pizza.EntryQueueU1,queueLength:mean,2.0281577747378
Third-n4-13-20191108-15:12:25-2300,13,Pizza.EntryQueueU1,queueLength:mean,2.0927699476829
Third-n4-14-20191108-15:12:27-1088,14,Pizza.EntryQueueU1,queueLength:mean,2.1246711655038
Third-n4-15-20191108-15:12:29-11852,15,Pizza.EntryQueueU1,queueLength:mean,2.1078914052609
Third-n4-16-20191108-15:12:31-4672,16,Pizza.EntryQueueU1,queueLength:mean,2.1429468874929
Third-n4-17-20191108-15:12:33-7796,17,Pizza.EntryQueueU1,queueLength:mean,2.0542108134493
Third-n4-18-20191108-15:12:34-1696,18,Pizza.EntryQueueU1,queueLength:mean,2.1358000113759
Third-n4-19-20191108-15:12:36-1324,19,Pizza.EntryQueueU1,queueLength:mean,2.1112856693993
Third-n4-1-20191108-15:12:04-3788,1,Pizza.EntryQueueU1,queueLength:mean,1.9898913104691
Third-n4-2-20191108-15:12:06-5824,2,Pizza.EntryQueueU1,queueLength:mean,2.2441370335795
Third-n4-3-20191108-15:12:08-7624,3,Pizza.EntryQueueU1,queueLength:mean,2.0785451620317
Third-n4-4-20191108-15:12:09-11272,4,Pizza.EntryQueueU1,queueLength:mean,2.0676556849569
Third-n4-5-20191108-15:12:11-9876,5,Pizza.EntryQueueU1,queueLength:mean,2.0438755801551
Third-n4-6-20191108-15:12:13-4380,6,Pizza.EntryQueueU1,queueLength:mean,1.9753686135558
Third-n4-7-20191108-15:12:15-10244,7,Pizza.EntryQueueU1,queueLength:mean,1.9905761903377
Third-n4-8-20191108-15:12:16-6864,8,Pizza.EntryQueueU1,queueLength:mean,2.0618332059881
Third-n4-9-20191108-15:12:18-736,9,Pizza.EntryQueueU1,queueLength:mean,2.1765714285714
